Item Number,Product Group,Product Line,Product Sub Group,Product Type
10043,Dairy,Food,Cottage Cheese,Dairy
10044,Dairy,Food,Sour Cream,Dairy
10045,Dairy,Food,Sour Cream,Dairy
10046,Dairy,Food,Cheese,Dairy
10047,Dairy,Food,Cheese,Dairy
10048,Dairy,Food,Cheese,Dairy
10049,Dairy,Food,Cheese,Dairy
10050,Dairy,Food,Cheese,Dairy
10051,Dairy,Food,Cheese,Dairy
10052,Dairy,Food,Cheese,Dairy
10053,Dairy,Food,Cheese,Dairy
10054,Dairy,Food,Cheese,Dairy
10055,Dairy,Food,Cottage Cheese,Dairy
10056,Dairy,Drink,Milk,Dairy
10057,Dairy,Drink,Milk,Dairy
10058,Dairy,Drink,Milk,Dairy
10059,Dairy,Drink,Milk,Dairy
10060,Dairy,Drink,Milk,Dairy
10061,Dairy,Food,Yogurt,Dairy
10062,Dairy,Food,Yogurt,Dairy
10063,Deli,Food,Hot Dogs,Meat
10064,Deli,Food,Bologna,Meat
10065,Deli,Food,Bologna,Meat
10066,Deli,Food,Bologna,Meat
10067,Deli,Food,Hot Dogs,Meat
10068,Deli,Food,Hot Dogs,Meat
10069,Deli,Food,Deli Salads,Side Dishes
10070,Deli,Food,Deli Salads,Side Dishes
10071,Deli,Food,Fresh Chicken,Meat
10072,Deli,Food,Deli Meats,Meat
10073,Deli,Food,Deli Meats,Meat
10074,Deli,Food,Deli Meats,Meat
10075,Deli,Food,Deli Salads,Side Dishes
10076,Deli,Food,Deli Meats,Meat
10077,Eggs,Food,Eggs,Eggs
10078,Eggs,Food,Eggs,Eggs
10079,Eggs,Food,Eggs,Eggs
10080,Eggs,Food,Eggs,Eggs
10081,Eggs,Food,Eggs,Eggs
10082,Frozen Foods,Food,Waffles,Breakfast Foods
10083,Frozen Foods,Food,Popsicles,Frozen Desserts
10084,Frozen Foods,Food,Frozen Chicken,Meat
10085,Frozen Foods,Food,Pancakes,Breakfast Foods
10086,Frozen Foods,Food,French Fries,Vegetables
10087,Frozen Foods,Food,Pizza,Pizza
10088,Frozen Foods,Food,Waffles,Breakfast Foods
10089,Frozen Foods,Food,French Fries,Vegetables
10090,Frozen Foods,Food,Waffles,Breakfast Foods
10091,Frozen Foods,Food,Pizza,Pizza
10092,Frozen Foods,Food,Pizza,Pizza
10093,Frozen Foods,Food,Pizza,Pizza
10094,Frozen Foods,Food,Waffles,Breakfast Foods
10095,Frozen Foods,Food,Frozen Vegetables,Vegetables
10096,Frozen Foods,Food,TV Dinner,Frozen Entrees
10097,Frozen Foods,Food,TV Dinner,Frozen Entrees
10098,Frozen Foods,Food,TV Dinner,Frozen Entrees
10099,Frozen Foods,Food,Pancake Mix,Breakfast Foods
10100,Frozen Foods,Food,Popsicles,Frozen Desserts
10101,Frozen Foods,Food,French Fries,Vegetables
10102,Frozen Foods,Food,Popsicles,Frozen Desserts
10103,Frozen Foods,Food,Ice Cream,Frozen Desserts
10104,Frozen Foods,Food,Ice Cream,Frozen Desserts
10105,Frozen Foods,Food,Frozen Vegetables,Vegetables
10106,Frozen Foods,Food,Frozen Vegetables,Vegetables
10107,Frozen Foods,Food,Frozen Vegetables,Vegetables
10108,Frozen Foods,Food,Frozen Vegetables,Vegetables
10109,Frozen Foods,Food,Ice Cream,Frozen Desserts
10110,Frozen Foods,Food,Frozen Chicken,Meat
10111,Frozen Foods,Food,Frozen Chicken,Meat
10112,Frozen Foods,Food,Popsicles,Frozen Desserts
10164,Meat,Food,Hamburger,Meat
10171,Produce,Food,Fresh Vegetables,Vegetables
10172,Produce,Food,Fresh Vegetables,Vegetables
10173,Produce,Food,Fresh Vegetables,Vegetables
10174,Produce,Food,Fresh Vegetables,Vegetables
10175,Produce,Food,Fresh Vegetables,Vegetables
10176,Produce,Food,Fresh Vegetables,Vegetables
10177,Produce,Food,Fresh Vegetables,Vegetables
10178,Produce,Food,Fresh Vegetables,Vegetables
10179,Produce,Food,Fresh Vegetables,Vegetables
10180,Produce,Food,Fresh Vegetables,Vegetables
10181,Produce,Food,Fresh Vegetables,Vegetables
10182,Produce,Food,Fresh Vegetables,Vegetables
10183,Produce,Food,Fresh Vegetables,Vegetables
10184,Produce,Food,Fresh Vegetables,Vegetables
10185,Produce,Food,Fresh Vegetables,Vegetables
10186,Produce,Food,Fresh Vegetables,Vegetables
10187,Produce,Food,Fresh Vegetables,Vegetables
10188,Produce,Food,Fresh Vegetables,Vegetables
10189,Produce,Food,Fresh Vegetables,Vegetables
10190,Produce,Food,Fresh Vegetables,Vegetables
10191,Produce,Food,Fresh Vegetables,Vegetables
10192,Produce,Food,Fresh Vegetables,Vegetables
10193,Produce,Food,Fresh Fruit,Fruit
10194,Produce,Food,Tofu,Packaged Vegetables
10195,Produce,Food,Nuts,Specialty
10196,Produce,Food,Fresh Fruit,Fruit
10197,Produce,Food,Fresh Fruit,Fruit
10198,Produce,Food,Fresh Fruit,Fruit
10199,Produce,Food,Fresh Fruit,Fruit
10200,Produce,Food,Fresh Fruit,Fruit
10201,Produce,Food,Fresh Fruit,Fruit
10202,Produce,Food,Fresh Fruit,Fruit
10203,Produce,Food,Fresh Vegetables,Vegetables
10204,Produce,Food,Fresh Fruit,Fruit
10205,Produce,Food,Nuts,Specialty
10206,Produce,Food,Nuts,Specialty
10207,Produce,Food,Fresh Vegetables,Vegetables
10208,Produce,Food,Fresh Fruit,Fruit
10209,Produce,Food,Fresh Fruit,Fruit
10210,Produce,Food,Fresh Fruit,Fruit
10211,Produce,Food,Nuts,Specialty
10212,Produce,Food,Fresh Fruit,Fruit
10213,Produce,Food,Fresh Fruit,Fruit
10214,Produce,Food,Nuts,Specialty
10215,Seafood,Food,Fresh Fish,Seafood
10216,Seafood,Food,Shellfish,Seafood
10217,Snacks,Food,Cookies,Snack Foods
10218,Snacks,Food,Chips,Snack Foods
10219,Snacks,Food,Chips,Snack Foods
10220,Snacks,Food,Chips,Snack Foods
10221,Snacks,Food,Cookies,Snack Foods
10222,Snacks,Food,Cookies,Snack Foods
10223,Snacks,Food,Cookies,Snack Foods
10224,Snacks,Food,Cookies,Snack Foods
10225,Snacks,Food,Chips,Snack Foods
10226,Snacks,Food,Cookies,Snack Foods
10227,Snacks,Food,Cookies,Snack Foods
10228,Snacks,Food,Crackers,Snack Foods
10229,Snacks,Food,Popcorn,Snack Foods
10230,Snacks,Food,Popcorn,Snack Foods
10231,Snacks,Food,Popcorn,Snack Foods
10232,Snacks,Food,Dips,Snack Foods
10233,Snacks,Food,Dips,Snack Foods
10234,Snacks,Food,Pretzels,Snack Foods
10235,Snacks,Food,Dips,Snack Foods
10236,Snacks,Food,Dips,Snack Foods
10237,Snacks,Food,Donuts,Snack Foods
10238,Snacks,Food,Dried Meat,Snack Foods
10239,Snacks,Food,Donuts,Snack Foods
10240,Snacks,Food,Chips,Snack Foods
10241,Snacks,Food,Crackers,Snack Foods
10242,Snacks,Food,Cookies,Snack Foods
10243,Snacks,Food,Dried Fruit,Snack Foods
10244,Snacks,Food,Dried Fruit,Snack Foods
10245,Snacks,Food,Dried Fruit,Snack Foods
10247,Snacks,Food,Dried Fruit,Snack Foods
10248,Snacks,Food,Dried Fruit,Snack Foods
10249,Snacks,Food,Dried Fruit,Snack Foods
10250,Snacks,Food,Dried Fruit,Snack Foods
10251,Snacks,Food,Dried Fruit,Snack Foods
10252,Snacks,Food,Donuts,Snack Foods
10253,Snacks,Food,Chocolate Candy,Candy
10254,Snacks,Food,Chocolate Candy,Candy
10255,Snacks,Food,Chocolate Candy,Candy
10256,Snacks,Food,Chocolate Candy,Candy
10257,Snacks,Food,Gum,Candy
10258,Snacks,Food,Hard Candy,Candy
10259,Snacks,Food,Hard Candy,Candy
10260,Snacks,Food,Chocolate Candy,Candy
10261,Starchy Foods,Food,Pasta,Starchy Foods
10262,Starchy Foods,Food,Pasta,Starchy Foods
10263,Starchy Foods,Food,Pasta,Starchy Foods
10264,Starchy Foods,Food,Rice,Starchy Foods
10265,Starchy Foods,Food,Rice,Starchy Foods
10266,Alcoholic Beverages,Drink,Beer,Beer and Wine
10267,Alcoholic Beverages,Drink,Wine,Beer and Wine
10268,Alcoholic Beverages,Drink,Wine,Beer and Wine
10269,Alcoholic Beverages,Drink,Wine,Beer and Wine
10270,Alcoholic Beverages,Drink,Wine,Beer and Wine
10271,Alcoholic Beverages,Drink,Wine,Beer and Wine
10272,Alcoholic Beverages,Drink,Wine,Beer and Wine
10273,Alcoholic Beverages,Drink,Beer,Beer and Wine
10274,Baked Goods,Food,Sliced Bread,Bread
10275,Baked Goods,Food,Sliced Bread,Bread
10276,Baked Goods,Food,Sliced Bread,Bread
10277,Baked Goods,Food,Muffins,Bread
10278,Baked Goods,Food,Muffins,Bread
10279,Baked Goods,Food,Muffins,Bread
10280,Baked Goods,Food,Bagels,Bread
10281,Baked Goods,Food,Muffins,Bread
10282,Baked Goods,Food,Sliced Bread,Bread
10283,Baking Goods,Food,Cooking Oil,Baking Goods
10284,Baking Goods,Food,Peanut Butter,Jams and Jellies
10285,Beverages,Drink,Chocolate,Hot Beverages
10286,Baking Goods,Food,Sugar,Baking Goods
10287,Baking Goods,Food,Sugar,Baking Goods
10288,Beverages,Drink,Coffee,Hot Beverages
10289,Beverages,Drink,Coffee,Hot Beverages
10290,Beverages,Drink,Coffee,Hot Beverages
10291,Baking Goods,Food,Cooking Oil,Baking Goods
10292,Baking Goods,Food,Cooking Oil,Baking Goods
10293,Baking Goods,Food,Sauces,Baking Goods
10294,Baking Goods,Food,Cooking Oil,Baking Goods
10295,Baking Goods,Food,Preserves,Jams and Jellies
10296,Beverages,Drink,Coffee,Hot Beverages
10297,Baking Goods,Food,Jelly,Jams and Jellies
10298,Baking Goods,Food,Spices,Baking Goods
10299,Baking Goods,Food,Preserves,Jams and Jellies
10300,Baking Goods,Food,Spices,Baking Goods
10301,Baking Goods,Food,Preserves,Jams and Jellies
10302,Baking Goods,Food,Spices,Baking Goods
10303,Baking Goods,Food,Jelly,Jams and Jellies
10304,Baking Goods,Food,Jam,Jams and Jellies
10305,Baking Goods,Food,Jam,Jams and Jellies
10306,Baking Goods,Food,Jam,Jams and Jellies
10307,Baking Goods,Food,Peanut Butter,Jams and Jellies
10308,Baking Goods,Food,Preserves,Jams and Jellies
10309,Baking Goods,Food,Peanut Butter,Jams and Jellies
10310,Baking Goods,Food,Preserves,Jams and Jellies
10311,Baking Goods,Food,Jelly,Jams and Jellies
10312,Beverages,Drink,Juice,Pure Juice Beverages
10313,Beverages,Drink,Flavored Drinks,Drinks
10314,Beverages,Drink,Flavored Drinks,Drinks
10315,Beverages,Drink,Soda,Carbonated Beverages
10316,Beverages,Drink,Soda,Carbonated Beverages
10317,Beverages,Drink,Soda,Carbonated Beverages
10318,Beverages,Drink,Soda,Carbonated Beverages
10319,Beverages,Drink,Juice,Pure Juice Beverages
10320,Beverages,Drink,Juice,Pure Juice Beverages
10321,Beverages,Drink,Juice,Pure Juice Beverages
10322,Beverages,Drink,Flavored Drinks,Drinks
10323,Breakfast Foods,Food,Cereal,Breakfast Foods
10324,Breakfast Foods,Food,Cereal,Breakfast Foods
10325,Breakfast Foods,Food,Cereal,Breakfast Foods
10326,Breakfast Foods,Food,Cereal,Breakfast Foods
10327,Canned Products,Food,Canned Vegetables,Vegetables
10328,Canned Products,Food,Canned Vegetables,Vegetables
10329,Canned Products,Food,Canned Vegetables,Vegetables
10330,Canned Products,Food,Soup,Canned Soup
10331,Canned Products,Food,Canned Vegetables,Vegetables
10332,Canned Products,Food,Soup,Canned Soup
10333,Canned Products,Food,Canned Vegetables,Vegetables
10334,Canned Products,Food,Soup,Canned Soup
10335,Canned Products,Food,Soup,Canned Soup
10336,Canned Products,Food,Soup,Canned Soup
10337,Canned Products,Food,Soup,Canned Soup
10338,Canned Products,Food,Soup,Canned Soup
10339,Canned Products,Food,Canned Vegetables,Vegetables
10340,Canned Products,Food,Soup,Canned Soup
10341,Canned Products,Food,Tuna,Canned Tuna
10342,Canned Products,Food,Tuna,Canned Tuna
10343,Canned Products,Food,Shrimp,Canned Shrimp
10344,Canned Products,Food,Anchovies,Canned Anchovies
10345,Canned Products,Food,Clams,Canned Clams
10346,Canned Products,Food,Oysters,Canned Oysters
10347,Canned Products,Food,Sardines,Canned Sardines
10348,Canned Products,Food,Soup,Canned Soup
10349,Canned Products,Food,Canned Fruit,Fruit
10350,Canned Products,Food,Canned Fruit,Fruit
10354,Dairy,Food,Cottage Cheese,Dairy
10355,Dairy,Food,Sour Cream,Dairy
10356,Dairy,Food,Sour Cream,Dairy
10357,Dairy,Food,Cheese,Dairy
10358,Dairy,Food,Cheese,Dairy
10359,Dairy,Food,Cheese,Dairy
10360,Dairy,Food,Cheese,Dairy
10361,Dairy,Food,Cheese,Dairy
10362,Dairy,Food,Cheese,Dairy
10363,Dairy,Food,Cheese,Dairy
10364,Dairy,Food,Cheese,Dairy
10365,Dairy,Food,Cheese,Dairy
10366,Dairy,Food,Cottage Cheese,Dairy
10367,Dairy,Drink,Milk,Dairy
10368,Dairy,Drink,Milk,Dairy
10369,Dairy,Drink,Milk,Dairy
10370,Dairy,Drink,Milk,Dairy
10371,Dairy,Drink,Milk,Dairy
10372,Dairy,Food,Yogurt,Dairy
10373,Dairy,Food,Yogurt,Dairy
10374,Deli,Food,Hot Dogs,Meat
10375,Deli,Food,Bologna,Meat
10376,Deli,Food,Bologna,Meat
10377,Deli,Food,Bologna,Meat
10378,Deli,Food,Hot Dogs,Meat
10379,Deli,Food,Hot Dogs,Meat
10380,Deli,Food,Deli Salads,Side Dishes
10381,Deli,Food,Deli Salads,Side Dishes
10382,Deli,Food,Fresh Chicken,Meat
10383,Deli,Food,Deli Meats,Meat
10384,Deli,Food,Deli Meats,Meat
10385,Deli,Food,Deli Meats,Meat
10386,Deli,Food,Deli Salads,Side Dishes
10387,Deli,Food,Deli Meats,Meat
10388,Eggs,Food,Eggs,Eggs
10389,Eggs,Food,Eggs,Eggs
10390,Eggs,Food,Eggs,Eggs
10391,Eggs,Food,Eggs,Eggs
10392,Eggs,Food,Eggs,Eggs
10393,Frozen Foods,Food,Waffles,Breakfast Foods
10394,Frozen Foods,Food,Popsicles,Frozen Desserts
10395,Frozen Foods,Food,Frozen Chicken,Meat
10396,Frozen Foods,Food,Pancakes,Breakfast Foods
10397,Frozen Foods,Food,French Fries,Vegetables
10398,Frozen Foods,Food,Pizza,Pizza
10399,Frozen Foods,Food,Waffles,Breakfast Foods
10400,Frozen Foods,Food,French Fries,Vegetables
10401,Frozen Foods,Food,Waffles,Breakfast Foods
10402,Frozen Foods,Food,Pizza,Pizza
10403,Frozen Foods,Food,Pizza,Pizza
10404,Frozen Foods,Food,Pizza,Pizza
10405,Frozen Foods,Food,Waffles,Breakfast Foods
10406,Frozen Foods,Food,Frozen Vegetables,Vegetables
10407,Frozen Foods,Food,TV Dinner,Frozen Entrees
10408,Frozen Foods,Food,TV Dinner,Frozen Entrees
10409,Frozen Foods,Food,TV Dinner,Frozen Entrees
10410,Frozen Foods,Food,Pancake Mix,Breakfast Foods
10411,Frozen Foods,Food,Popsicles,Frozen Desserts
10412,Frozen Foods,Food,French Fries,Vegetables
10413,Frozen Foods,Food,Popsicles,Frozen Desserts
10414,Frozen Foods,Food,Ice Cream,Frozen Desserts
10415,Frozen Foods,Food,Ice Cream,Frozen Desserts
10416,Frozen Foods,Food,Frozen Vegetables,Vegetables
10417,Frozen Foods,Food,Frozen Vegetables,Vegetables
10418,Frozen Foods,Food,Frozen Vegetables,Vegetables
10419,Frozen Foods,Food,Frozen Vegetables,Vegetables
10420,Frozen Foods,Food,Ice Cream,Frozen Desserts
10421,Frozen Foods,Food,Frozen Chicken,Meat
10422,Frozen Foods,Food,Frozen Chicken,Meat
10423,Frozen Foods,Food,Popsicles,Frozen Desserts
10475,Meat,Food,Hamburger,Meat
10476,Meat,Food,Hamburger,Meat
10482,Produce,Food,Fresh Vegetables,Vegetables
10483,Produce,Food,Fresh Vegetables,Vegetables
10484,Produce,Food,Fresh Vegetables,Vegetables
10485,Produce,Food,Fresh Vegetables,Vegetables
10486,Produce,Food,Fresh Vegetables,Vegetables
10487,Produce,Food,Fresh Vegetables,Vegetables
10488,Produce,Food,Fresh Vegetables,Vegetables
10489,Produce,Food,Fresh Vegetables,Vegetables
10490,Produce,Food,Fresh Vegetables,Vegetables
10491,Produce,Food,Fresh Vegetables,Vegetables
10492,Produce,Food,Fresh Vegetables,Vegetables
10493,Produce,Food,Fresh Vegetables,Vegetables
10494,Produce,Food,Fresh Vegetables,Vegetables
10495,Produce,Food,Fresh Vegetables,Vegetables
10496,Produce,Food,Fresh Vegetables,Vegetables
10497,Produce,Food,Fresh Vegetables,Vegetables
10498,Produce,Food,Fresh Vegetables,Vegetables
10499,Produce,Food,Fresh Vegetables,Vegetables
10500,Produce,Food,Fresh Vegetables,Vegetables
10501,Produce,Food,Fresh Vegetables,Vegetables
10502,Produce,Food,Fresh Vegetables,Vegetables
10503,Produce,Food,Fresh Vegetables,Vegetables
10504,Produce,Food,Fresh Fruit,Fruit
10505,Produce,Food,Tofu,Packaged Vegetables
10506,Produce,Food,Nuts,Specialty
10507,Produce,Food,Fresh Fruit,Fruit
10508,Produce,Food,Fresh Fruit,Fruit
10509,Produce,Food,Fresh Fruit,Fruit
10510,Produce,Food,Fresh Fruit,Fruit
10511,Produce,Food,Fresh Fruit,Fruit
10512,Produce,Food,Fresh Fruit,Fruit
10513,Produce,Food,Fresh Fruit,Fruit
10514,Produce,Food,Fresh Vegetables,Vegetables
10515,Produce,Food,Fresh Fruit,Fruit
10516,Produce,Food,Nuts,Specialty
10517,Produce,Food,Nuts,Specialty
10518,Produce,Food,Fresh Vegetables,Vegetables
10519,Produce,Food,Fresh Fruit,Fruit
10520,Produce,Food,Fresh Fruit,Fruit
10521,Produce,Food,Fresh Fruit,Fruit
10522,Produce,Food,Nuts,Specialty
10523,Produce,Food,Fresh Fruit,Fruit
10524,Produce,Food,Fresh Fruit,Fruit
10525,Produce,Food,Nuts,Specialty
10526,Seafood,Food,Fresh Fish,Seafood
10527,Seafood,Food,Shellfish,Seafood
10528,Snacks,Food,Cookies,Snack Foods
10529,Snacks,Food,Chips,Snack Foods
10530,Snacks,Food,Chips,Snack Foods
10531,Snacks,Food,Chips,Snack Foods
10532,Snacks,Food,Cookies,Snack Foods
10533,Snacks,Food,Cookies,Snack Foods
10534,Snacks,Food,Cookies,Snack Foods
10535,Snacks,Food,Cookies,Snack Foods
10536,Snacks,Food,Chips,Snack Foods
10537,Snacks,Food,Cookies,Snack Foods
10538,Snacks,Food,Cookies,Snack Foods
10539,Snacks,Food,Crackers,Snack Foods
10540,Snacks,Food,Popcorn,Snack Foods
10541,Snacks,Food,Popcorn,Snack Foods
10542,Snacks,Food,Popcorn,Snack Foods
10543,Snacks,Food,Dips,Snack Foods
10544,Snacks,Food,Dips,Snack Foods
10545,Snacks,Food,Pretzels,Snack Foods
10546,Snacks,Food,Dips,Snack Foods
10547,Snacks,Food,Dips,Snack Foods
10548,Snacks,Food,Donuts,Snack Foods
10549,Snacks,Food,Dried Meat,Snack Foods
10550,Snacks,Food,Donuts,Snack Foods
10551,Snacks,Food,Chips,Snack Foods
10552,Snacks,Food,Crackers,Snack Foods
10553,Snacks,Food,Cookies,Snack Foods
10554,Snacks,Food,Dried Fruit,Snack Foods
10555,Snacks,Food,Dried Fruit,Snack Foods
10556,Snacks,Food,Dried Fruit,Snack Foods
10557,Snacks,Food,Dried Fruit,Snack Foods
10558,Snacks,Food,Dried Fruit,Snack Foods
10559,Snacks,Food,Dried Fruit,Snack Foods
10560,Snacks,Food,Dried Fruit,Snack Foods
10561,Snacks,Food,Dried Fruit,Snack Foods
10562,Snacks,Food,Dried Fruit,Snack Foods
10563,Snacks,Food,Donuts,Snack Foods
10564,Snacks,Food,Chocolate Candy,Candy
10565,Snacks,Food,Chocolate Candy,Candy
10566,Snacks,Food,Chocolate Candy,Candy
10567,Snacks,Food,Chocolate Candy,Candy
10568,Snacks,Food,Gum,Candy
10569,Snacks,Food,Hard Candy,Candy
10570,Snacks,Food,Hard Candy,Candy
10571,Snacks,Food,Chocolate Candy,Candy
10572,Starchy Foods,Food,Pasta,Starchy Foods
10573,Starchy Foods,Food,Pasta,Starchy Foods
10574,Starchy Foods,Food,Pasta,Starchy Foods
10575,Starchy Foods,Food,Rice,Starchy Foods
10576,Starchy Foods,Food,Rice,Starchy Foods
10577,Alcoholic Beverages,Drink,Beer,Beer and Wine
10578,Alcoholic Beverages,Drink,Wine,Beer and Wine
10579,Alcoholic Beverages,Drink,Wine,Beer and Wine
10580,Alcoholic Beverages,Drink,Wine,Beer and Wine
10581,Alcoholic Beverages,Drink,Wine,Beer and Wine
10582,Alcoholic Beverages,Drink,Wine,Beer and Wine
10583,Alcoholic Beverages,Drink,Wine,Beer and Wine
10584,Alcoholic Beverages,Drink,Beer,Beer and Wine
10585,Baked Goods,Food,Sliced Bread,Bread
10586,Baked Goods,Food,Sliced Bread,Bread
10587,Baked Goods,Food,Sliced Bread,Bread
10588,Baked Goods,Food,Muffins,Bread
10589,Baked Goods,Food,Muffins,Bread
10590,Baked Goods,Food,Muffins,Bread
10591,Baked Goods,Food,Bagels,Bread
10592,Baked Goods,Food,Muffins,Bread
10593,Baked Goods,Food,Sliced Bread,Bread
10594,Baking Goods,Food,Cooking Oil,Baking Goods
10595,Baking Goods,Food,Peanut Butter,Jams and Jellies
10596,Beverages,Drink,Chocolate,Hot Beverages
10597,Baking Goods,Food,Sugar,Baking Goods
10598,Baking Goods,Food,Sugar,Baking Goods
10599,Beverages,Drink,Coffee,Hot Beverages
10600,Beverages,Drink,Coffee,Hot Beverages
10601,Beverages,Drink,Coffee,Hot Beverages
10602,Baking Goods,Food,Cooking Oil,Baking Goods
10603,Baking Goods,Food,Cooking Oil,Baking Goods
10604,Baking Goods,Food,Sauces,Baking Goods
10605,Baking Goods,Food,Cooking Oil,Baking Goods
10606,Baking Goods,Food,Preserves,Jams and Jellies
10607,Beverages,Drink,Coffee,Hot Beverages
10608,Baking Goods,Food,Jelly,Jams and Jellies
10609,Baking Goods,Food,Spices,Baking Goods
10610,Baking Goods,Food,Preserves,Jams and Jellies
10611,Baking Goods,Food,Spices,Baking Goods
10612,Baking Goods,Food,Preserves,Jams and Jellies
10613,Baking Goods,Food,Spices,Baking Goods
10614,Baking Goods,Food,Jelly,Jams and Jellies
10615,Baking Goods,Food,Jam,Jams and Jellies
10616,Baking Goods,Food,Jam,Jams and Jellies
10617,Baking Goods,Food,Jam,Jams and Jellies
10618,Baking Goods,Food,Peanut Butter,Jams and Jellies
10619,Baking Goods,Food,Preserves,Jams and Jellies
10620,Baking Goods,Food,Peanut Butter,Jams and Jellies
10621,Baking Goods,Food,Preserves,Jams and Jellies
10622,Baking Goods,Food,Jelly,Jams and Jellies
10623,Beverages,Drink,Juice,Pure Juice Beverages
10624,Beverages,Drink,Flavored Drinks,Drinks
10625,Beverages,Drink,Flavored Drinks,Drinks
10626,Beverages,Drink,Soda,Carbonated Beverages
10627,Beverages,Drink,Soda,Carbonated Beverages
10628,Beverages,Drink,Soda,Carbonated Beverages
10629,Beverages,Drink,Soda,Carbonated Beverages
10630,Beverages,Drink,Juice,Pure Juice Beverages
10631,Beverages,Drink,Juice,Pure Juice Beverages
10632,Beverages,Drink,Juice,Pure Juice Beverages
10633,Beverages,Drink,Flavored Drinks,Drinks
10634,Breakfast Foods,Food,Cereal,Breakfast Foods
10635,Breakfast Foods,Food,Cereal,Breakfast Foods
10636,Breakfast Foods,Food,Cereal,Breakfast Foods
10637,Breakfast Foods,Food,Cereal,Breakfast Foods
10638,Canned Products,Food,Canned Vegetables,Vegetables
10639,Canned Products,Food,Canned Vegetables,Vegetables
10640,Canned Products,Food,Canned Vegetables,Vegetables
10641,Canned Products,Food,Soup,Canned Soup
10642,Canned Products,Food,Canned Vegetables,Vegetables
10643,Canned Products,Food,Soup,Canned Soup
10644,Canned Products,Food,Canned Vegetables,Vegetables
10645,Canned Products,Food,Soup,Canned Soup
10646,Canned Products,Food,Soup,Canned Soup
10647,Canned Products,Food,Soup,Canned Soup
10648,Canned Products,Food,Soup,Canned Soup
10649,Canned Products,Food,Soup,Canned Soup
10650,Canned Products,Food,Canned Vegetables,Vegetables
10651,Canned Products,Food,Soup,Canned Soup
10652,Canned Products,Food,Tuna,Canned Tuna
10653,Canned Products,Food,Tuna,Canned Tuna
10654,Canned Products,Food,Shrimp,Canned Shrimp
10655,Canned Products,Food,Anchovies,Canned Anchovies
10656,Canned Products,Food,Clams,Canned Clams
10657,Canned Products,Food,Oysters,Canned Oysters
10658,Canned Products,Food,Sardines,Canned Sardines
10659,Canned Products,Food,Soup,Canned Soup
10660,Canned Products,Food,Canned Fruit,Fruit
10661,Canned Products,Food,Canned Fruit,Fruit
10665,Dairy,Food,Cottage Cheese,Dairy
10666,Dairy,Food,Sour Cream,Dairy
10667,Dairy,Food,Sour Cream,Dairy
10668,Dairy,Food,Cheese,Dairy
10669,Dairy,Food,Cheese,Dairy
10670,Dairy,Food,Cheese,Dairy
10671,Dairy,Food,Cheese,Dairy
10672,Dairy,Food,Cheese,Dairy
10673,Dairy,Food,Cheese,Dairy
10674,Dairy,Food,Cheese,Dairy
10675,Dairy,Food,Cheese,Dairy
10676,Dairy,Food,Cheese,Dairy
10677,Dairy,Food,Cottage Cheese,Dairy
10678,Dairy,Drink,Milk,Dairy
10679,Dairy,Drink,Milk,Dairy
10680,Dairy,Drink,Milk,Dairy
10681,Dairy,Drink,Milk,Dairy
10682,Dairy,Drink,Milk,Dairy
10683,Dairy,Food,Yogurt,Dairy
10684,Dairy,Food,Yogurt,Dairy
