title,year,content_rating,genre,duration,gross,Internet Movie Database,Rotten Tomatoes,Metacritic
The Pianist,2002,R,Biography,150,1034958,8.5,9.5,8.5
Casablanca,1942,PG,Drama,102,216540909,8.5,9.7,10.0
Rear Window,1954,PG,Mystery,112,512829,8.5,10.0,10.0
Cinema Paradiso,1988,R,Drama            ,155,854833,8.5,9.0,8.0
Modern Times,1936,G,Comedy,87,510702,8.5,10.0,9.6
Django Unchained,2012,R,Drama,165,330423,8.4,8.7,8.1
The Shining,1980,PG-13,Drama,146,7270000,8.4,8.6,6.3
The Dark Knight Rises,2012,R,Action,164,134896,8.4,8.7,7.8
Braveheart,1995,R,Biography,178,19181,8.4,7.6,6.8
American Beauty,1999,PG,Drama            ,122,186425,8.4,8.8,8.6
Aliens,1986,G,Action,137,132384315,8.4,9.8,8.4
The Lives of Others,2006,PG,Drama,137,867023,8.4,9.2,8.9
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG-13,Comedy            ,95,210609762,8.4,9.9,9.6
3 Idiots,2009,PG-13,Comedy,170,1136687,8.4,10.0,6.7
Princess Mononoke,1997,PG,Animation,134,187705427,8.4,9.2,7.6
Citizen Kane,1941,R,Drama,119,554499,8.4,10.0,10.0
Das Boot,1981,PG,Adventure,149,13092000,8.4,9.8,8.6
Inglourious Basterds,2009,G,Adventure,153,78900000,8.3,8.8,6.9
2001: A Space Odyssey,1968,G,Adventure,149,517652,8.3,9.2,8.2
Toy Story,1995,R,Animation,81,83471511,8.3,10.0,9.5
Taxi Driver,1976,R,Crime,114,936295,8.3,9.8,9.4
A Clockwork Orange,1971,G,Crime,136,136801374,8.3,8.9,7.8
Toy Story 3,2010,R,Animation,103,499468,8.3,9.9,9.2
Requiem for a Dream,2000,PG-13,Drama            ,102,32000000,8.3,7.8,6.8
Batman Begins,2005,R,Action,140,854482,8.3,8.4,7.0
Scarface,1983,PG,Crime,170,204843350,8.3,8.2,6.5
Full Metal Jacket,1987,R,Drama,116,25544867,8.3,9.3,7.6
Good Will Hunting,1997,R,Drama            ,126,899722,8.3,9.7,7.0
Eternal Sunshine of the Spotless Mind,2004,R,Drama,108,6719864,8.3,9.3,8.9
Snatch,2000,R,Comedy,102,622183,8.3,7.3,5.5
L.A. Confidential,1997,R,Crime,138,13182281,8.3,9.9,9.0
Reservoir Dogs,1992,PG,Crime,99,255126,8.3,9.1,7.9
Indiana Jones and the Last Crusade,1989,R,Action,127,594442,8.3,8.8,6.5
For a Few Dollars More,1965,R,Western            ,132,32572577,8.3,9.4,7.4
The Hunt,2012,R,Drama,115,449102,8.3,9.4,7.7
