order_id,return_date,return_quantity,reason_returned
AG-2018-2877657,2018-03-18,1,Not Needed
AG-2018-2918430,2018-02-08,1,Not Needed
AG-2018-3423963,2018-03-02,1,Not Needed
AG-2018-3523968,2018-02-26,1,Not Needed
AG-2018-3631860,2018-02-01,1,Not Needed
AG-2018-4251929,2018-02-27,1,Not Needed
AG-2018-4449176,2018-01-25,1,Not Needed
AG-2018-514866,2018-02-27,1,Not Needed
AG-2018-5772696,2018-02-03,1,Not Needed
AG-2018-628667,2018-02-14,1,Not Needed
AG-2018-6520,2018-02-27,1,Not Needed
AG-2019-1017754,2019-12-03,1,Not Needed
AG-2019-1094739,2019-03-03,1,Not Given
AG-2019-1098804,2019-12-15,1,Not Needed
AG-2019-1149565,2019-12-05,1,Not Needed
AG-2019-1165853,2019-06-09,1,Not Needed
AG-2019-13215,2019-06-12,1,Not Needed
AG-2019-1375433,2020-01-23,1,Not Needed
AG-2019-1383192,2019-12-15,1,Not Needed
AG-2019-1422499,2019-04-18,1,Not Given
AG-2019-1434662,2019-08-16,1,Not Needed
AG-2019-1480026,2019-04-13,1,Not Given
AG-2019-1533990,2020-01-13,1,Not Needed
AG-2019-1760713,2019-03-20,1,Not Given
AG-2019-1803453,2019-08-06,1,Not Needed
AG-2019-1995623,2019-12-01,1,Not Needed
AG-2019-2040410,2019-11-25,1,Not Needed
AG-2019-2041240,2019-04-05,1,Not Given
AG-2019-2149744,2019-08-16,1,Not Needed
AG-2019-2304204,2019-07-10,1,Not Needed
AG-2019-2326895,2019-04-18,1,Not Given
AG-2019-2329228,2019-06-17,1,Not Needed
AG-2019-2359828,2019-03-06,1,Not Given
AG-2019-2451122,2019-12-22,1,Not Needed
AG-2019-2457312,2019-07-20,1,Not Needed
AG-2019-2482543,2019-07-11,1,Not Needed
AG-2019-2582140,2020-01-22,1,Not Needed
AG-2019-261287,2019-07-25,1,Not Needed
AG-2019-2617642,2019-08-23,1,Not Needed
AG-2019-2655561,2019-04-20,1,Not Given
AG-2019-2729252,2019-07-16,1,Not Needed
AG-2019-2740690,2019-12-20,1,Not Needed
AG-2019-2752969,2020-01-16,1,Not Needed
AG-2019-2926982,2019-12-25,1,Not Needed
AG-2019-2986245,2019-03-27,1,Not Given
AG-2019-3016455,2019-11-27,1,Not Needed
AG-2019-3104919,2019-12-25,1,Not Needed
AG-2019-3134909,2019-08-07,1,Not Needed
AG-2019-3186465,2019-07-15,1,Not Needed
AG-2019-3198847,2019-04-07,1,Not Given
AG-2019-3282553,2019-04-22,1,Not Given
AG-2019-3287999,2019-03-27,1,Not Given
AG-2019-3657173,2019-12-06,1,Not Needed
AG-2019-3663178,2019-07-27,1,Not Needed
AG-2019-3675909,2019-06-06,1,Not Needed
AG-2019-3954068,2019-07-20,1,Not Needed
AG-2019-3960042,2019-04-24,1,Not Given
AG-2019-3975600,2019-03-27,1,Not Given
AG-2019-405221,2020-01-08,1,Not Needed
AG-2019-407790,2020-01-15,1,Not Needed
AG-2019-4118322,2019-06-24,1,Not Needed
AG-2019-4165851,2019-06-25,1,Not Needed
AG-2019-4229951,2019-07-02,1,Not Needed
AG-2019-4272737,2019-12-08,1,Not Needed
AG-2019-4290,2019-07-28,1,Not Needed
AG-2019-4363022,2019-06-25,1,Not Needed
AG-2019-4370463,2019-07-19,1,Not Needed
AG-2019-446926,2019-07-06,1,Not Needed
AG-2019-4546712,2019-11-27,1,Not Needed
AG-2019-4578102,2019-11-20,1,Not Needed
AG-2019-4583729,2019-12-13,1,Not Needed
AG-2019-4606924,2019-12-29,1,Not Needed
AG-2019-4629598,2019-04-16,1,Not Given
AG-2019-463158,2019-12-07,1,Not Needed
AG-2019-4640616,2019-03-25,1,Not Given
AG-2019-4658832,2019-07-31,1,Not Needed
AG-2019-4674468,2019-12-28,1,Not Needed
AG-2019-4812566,2019-08-02,1,Not Needed
AG-2019-4922268,2020-01-16,1,Not Needed
AG-2019-5064470,2020-01-19,1,Not Needed
AG-2019-5091562,2020-01-05,1,Not Needed
AG-2019-5096991,2020-01-17,1,Not Needed
AG-2019-5150549,2019-12-12,1,Not Needed
AG-2019-5165200,2020-01-17,1,Not Needed
AG-2019-5205565,2019-11-19,1,Not Needed
AG-2019-5251863,2019-03-26,1,Not Given
AG-2019-5303013,2019-08-09,1,Not Needed
AG-2019-5365613,2019-07-21,1,Not Needed
AG-2019-5382877,2020-01-11,1,Not Needed
AG-2019-5428591,2019-11-30,1,Not Needed
AG-2019-5476229,2019-07-22,1,Not Needed
AG-2019-5519865,2019-06-28,1,Not Needed
AG-2019-553131,2020-01-01,1,Not Needed
AG-2019-553166,2020-01-04,1,Not Needed
AG-2019-5570185,2019-06-21,1,Not Needed
AG-2019-56009,2019-07-18,1,Not Needed
AG-2019-5618265,2020-01-02,1,Not Needed
AG-2019-5677014,2019-03-03,1,Not Given
AG-2019-5740509,2019-08-07,1,Not Needed
AG-2019-5829085,2019-04-18,1,Not Given
AG-2019-5867448,2020-01-02,1,Not Needed
AG-2019-607458,2019-12-09,1,Not Needed
AG-2019-612738,2019-03-27,1,Not Given
AG-2019-8240,2019-03-23,1,Not Given
AG-2019-912026,2019-08-12,1,Not Needed
AG-2020-3348142,2020-01-08,1,Not Needed
AL-2017-1009696,2017-05-30,1,Not Needed
AL-2017-2157779,2017-04-08,1,Not Needed
AL-2017-2383330,2017-05-09,1,Not Needed
AL-2017-2432779,2017-05-29,1,Not Needed
AL-2017-3045208,2017-05-11,1,Not Needed
AL-2017-3869753,2017-04-24,1,Not Needed
AL-2017-4174474,2017-06-09,1,Not Needed
AL-2017-8670,2017-05-20,1,Not Needed
AO-2016-1265524,2016-08-21,1,Not Given
AO-2016-1670,2016-01-14,1,Wrong Item
AO-2016-2918744,2016-08-20,1,Not Given
AO-2016-4808972,2016-07-15,1,Not Given
AO-2016-5050652,2016-08-09,1,Not Given
AO-2016-5967606,2016-08-02,1,Not Given
AO-2016-728176,2016-08-14,1,Not Given
AO-2018-1011635,2018-11-06,1,Not Needed
AO-2018-1034871,2018-12-16,1,Not Needed
AO-2018-1035226,2018-12-27,1,Wrong Item
AO-2018-1112130,2018-12-29,1,Wrong Item
AO-2018-1139787,2018-11-22,1,Wrong Item
AO-2018-1186801,2019-01-02,1,Wrong Item
AO-2018-1237396,2018-12-04,1,Wrong Item
AO-2018-1237740,2018-12-10,1,Wrong Item
AO-2018-1317586,2018-12-10,1,Wrong Item
AO-2018-1373011,2018-12-19,1,Wrong Item
AO-2018-1437062,2018-11-26,1,Not Needed
AO-2018-1543423,2018-12-02,1,Wrong Item
AO-2018-1568759,2018-11-17,3,Not Given
AO-2018-1702358,2018-12-21,1,Wrong Item
AO-2018-1762292,2018-12-15,1,Not Needed
AO-2018-1796981,2018-11-16,1,Not Needed
AO-2018-1914779,2019-01-19,1,Wrong Item
AO-2018-1938123,2018-12-17,1,Wrong Item
AO-2018-1938782,2018-11-10,3,Not Given
AO-2018-213133,2018-11-28,3,Not Given
AO-2018-2180,2018-12-02,3,Not Given
AO-2018-2277336,2018-12-18,3,Not Given
AO-2018-2599641,2018-12-07,1,Wrong Item
AO-2018-2620887,2018-12-21,3,Not Given
AO-2018-2644987,2018-12-05,1,Not Needed
AO-2018-2672771,2018-12-21,1,Wrong Item
AO-2018-2813176,2018-12-22,1,Not Needed
AO-2018-2844831,2018-12-01,1,Not Needed
AO-2018-2963103,2018-10-24,1,Not Needed
AO-2018-2976504,2018-10-23,1,Not Needed
AO-2018-3022959,2018-12-14,1,Wrong Item
AO-2018-3249252,2018-12-15,1,Wrong Item
AO-2018-3284255,2018-11-06,1,Not Needed
AO-2018-3419984,2019-01-24,1,Wrong Item
AO-2018-3465869,2018-11-07,3,Not Given
AO-2018-3580984,2018-10-31,1,Not Needed
AO-2018-3609776,2018-12-24,1,Wrong Item
AO-2018-3633381,2018-12-18,3,Not Given
AO-2018-3782046,2018-11-21,1,Not Needed
AO-2018-3837963,2018-12-29,3,Not Given
AO-2018-392115,2018-11-04,1,Not Needed
AO-2018-3929096,2018-11-22,1,Wrong Item
AO-2018-4005738,2018-12-08,1,Wrong Item
AO-2018-4093348,2018-11-08,1,Not Needed
AO-2018-4192094,2018-12-05,3,Not Given
AO-2018-4198562,2018-12-06,1,Not Needed
AO-2018-425529,2018-12-13,3,Not Given
AO-2018-4266392,2018-12-11,3,Not Given
AO-2018-4310,2018-11-25,1,Not Needed
AO-2018-4317238,2018-12-03,1,Not Needed
AO-2018-44892,2018-12-13,1,Not Needed
AO-2018-449725,2018-12-02,3,Not Given
AO-2018-4583642,2018-12-29,1,Wrong Item
AO-2018-4596831,2018-11-02,3,Not Given
AO-2018-4641545,2018-11-08,1,Not Needed
AO-2018-4918292,2018-12-18,1,Wrong Item
AO-2018-4930174,2018-12-04,1,Not Needed
AO-2018-5090806,2018-12-29,3,Not Given
AO-2018-5197952,2018-12-31,3,Not Given
AO-2018-5363010,2019-01-13,1,Wrong Item
AO-2018-5385316,2018-11-10,1,Not Needed
AO-2018-5572291,2018-12-06,1,Wrong Item
AO-2018-5665858,2019-01-06,1,Wrong Item
AO-2018-5666723,2018-11-17,1,Not Needed
AO-2018-5753497,2019-01-17,1,Wrong Item
AO-2018-5764367,2018-11-06,3,Not Given
AO-2018-5796216,2019-01-02,1,Wrong Item
AO-2018-5811408,2018-12-13,3,Not Given
AO-2018-5817691,2018-11-02,1,Not Needed
AO-2018-5829769,2018-12-25,1,Wrong Item
AO-2018-763938,2018-10-18,3,Not Given
AO-2018-843551,2018-12-28,3,Not Given
AO-2018-955993,2018-12-17,1,Wrong Item
AO-2019-1248287,2019-09-16,1,Not Given
AO-2019-1298581,2019-10-22,1,Not Given
AO-2019-134344,2020-01-03,1,Not Needed
AO-2019-1370233,2020-01-08,1,Not Needed
AO-2019-1373083,2019-09-19,1,Not Given
AO-2019-1395207,2019-08-29,1,Not Given
AO-2019-1471301,2019-10-12,1,Not Given
AO-2019-1559605,2019-09-24,1,Not Given
AO-2019-1610506,2019-09-16,1,Not Given
AO-2019-1652229,2019-10-15,1,Not Given
AO-2019-1675953,2019-10-22,1,Not Given
AO-2019-1814135,2019-10-10,1,Not Given
AO-2019-216065,2019-09-18,1,Not Given
AO-2019-247334,2019-10-22,1,Not Given
AO-2019-2507280,2019-10-25,1,Not Given
AO-2019-2561886,2020-01-01,1,Not Needed
AO-2019-2624544,2019-12-17,1,Not Needed
AO-2019-2681580,2019-10-26,1,Not Given
AO-2019-2880559,2019-01-14,1,Wrong Item
AO-2019-2969309,2019-09-24,1,Not Given
AO-2019-3160436,2019-10-20,1,Not Given
AO-2019-3208934,2019-10-15,1,Not Given
AO-2019-3362148,2019-10-05,1,Not Given
AO-2019-3439855,2019-09-28,1,Not Given
AO-2019-3570194,2019-11-02,1,Not Given
AO-2019-3662786,2019-12-29,1,Not Needed
AO-2019-3755429,2019-10-17,1,Not Given
AO-2019-3797981,2020-01-13,1,Not Needed
AO-2019-3982995,2019-10-06,1,Not Given
AO-2019-4169717,2019-09-28,1,Not Given
AO-2019-4265256,2019-10-25,1,Not Given
AO-2019-4319856,2019-10-02,1,Not Given
AO-2019-4698925,2019-09-16,1,Not Given
AO-2019-471733,2019-10-10,1,Not Given
AO-2019-4871874,2019-09-17,1,Not Given
AO-2019-49001,2019-09-18,1,Not Given
AO-2019-5088967,2020-01-09,1,Not Needed
AO-2019-5189224,2019-10-01,1,Not Given
AO-2019-5246669,2020-01-15,1,Not Needed
AO-2019-5309069,2020-01-02,1,Not Needed
AO-2019-5396824,2019-12-27,1,Not Needed
AO-2019-548916,2019-12-22,1,Not Needed
AO-2019-5541601,2019-12-05,1,Not Needed
AO-2019-5717942,2020-01-07,1,Not Needed
AO-2019-577373,2019-01-22,1,Wrong Item
AO-2019-5813300,2019-11-05,1,Not Given
AO-2019-5852418,2020-01-20,1,Not Needed
AO-2019-686059,2019-12-31,1,Not Needed
AO-2019-701251,2020-01-02,1,Not Needed
AO-2019-7730,2020-01-16,1,Not Needed
AO-2019-8250,2019-09-25,1,Not Given
AO-2019-835313,2019-10-01,1,Not Given
AO-2019-839029,2019-10-12,1,Not Given
AO-2020-1291319,2020-01-25,1,Not Needed
AO-2020-1558755,2020-01-25,1,Not Needed
AO-2020-1569487,2020-01-10,1,Not Needed
AO-2020-1852986,2020-01-21,1,Not Needed
AO-2020-2204392,2020-01-09,1,Not Needed
AO-2020-2426376,2020-02-03,1,Not Needed
AO-2020-2431998,2020-02-19,1,Not Needed
AO-2020-2485113,2020-01-21,1,Not Needed
AO-2020-2743545,2020-02-11,1,Not Needed
AO-2020-2771997,2020-01-23,1,Not Needed
AO-2020-3710644,2020-01-23,1,Not Needed
AO-2020-419430,2020-02-07,1,Not Needed
AO-2020-4239222,2020-02-10,1,Not Needed
AO-2020-4447963,2020-01-31,1,Not Needed
AO-2020-453471,2020-01-17,1,Not Needed
AO-2020-4726114,2020-01-22,1,Not Needed
AO-2020-4818167,2020-02-05,1,Not Needed
AO-2020-4908959,2020-02-07,1,Not Needed
AO-2020-4909026,2020-01-31,1,Not Needed
AO-2020-4936737,2020-01-20,1,Not Needed
AO-2020-4986527,2020-01-19,1,Not Needed
AO-2020-5552803,2020-02-10,1,Not Needed
AO-2020-579092,2020-02-07,1,Not Needed
AO-2020-688498,2020-02-08,1,Not Needed
AO-2020-945509,2020-01-28,1,Not Needed
AO-2020-973605,2020-02-02,1,Not Needed
AU-2018-1388925,2018-04-04,1,Not Given
AU-2018-1498401,2018-04-22,1,Not Given
AU-2018-1679437,2018-03-07,1,Not Given
AU-2018-198716,2018-03-18,1,Not Given
AU-2018-2136357,2018-04-26,1,Not Given
AU-2018-2681152,2018-04-18,1,Not Given
AU-2018-2735410,2018-04-03,1,Not Given
AU-2018-2744627,2018-03-29,1,Not Given
AU-2018-2875540,2018-04-03,1,Not Given
AU-2018-2884465,2018-04-12,1,Not Given
AU-2018-2983368,2018-05-03,1,Not Given
AU-2018-3432688,2018-03-29,1,Not Given
AU-2018-3489401,2018-04-24,1,Not Given
AU-2018-380504,2018-03-09,1,Not Given
AU-2018-3887539,2018-04-03,1,Not Given
AU-2018-3984973,2018-03-19,1,Not Given
AU-2018-4199230,2018-03-30,1,Not Given
AU-2018-4208783,2018-03-11,1,Not Given
AU-2018-5070697,2018-03-20,1,Not Given
AU-2018-5126706,2018-04-13,1,Not Given
AU-2018-5367955,2018-04-09,1,Not Given
AU-2019-1026848,2019-12-02,1,Wrong Item
AU-2019-1192076,2019-08-06,1,Not Given
AU-2019-1248394,2019-07-11,1,Not Given
AU-2019-1258026,2019-08-16,1,Not Given
AU-2019-1268707,2019-11-22,1,Wrong Item
AU-2019-1540303,2019-12-03,1,Wrong Item
AU-2019-160553,2019-07-10,1,Not Given
AU-2019-1846333,2019-07-01,1,Not Given
AU-2019-1895406,2019-12-18,1,Wrong Item
AU-2019-1898127,2020-01-14,1,Wrong Item
AU-2019-2030637,2019-08-05,1,Not Given
AU-2019-2042302,2019-12-06,1,Wrong Item
AU-2019-2314968,2019-08-05,1,Not Given
AU-2019-2324767,2019-07-30,1,Not Given
AU-2019-2501068,2020-01-04,1,Wrong Item
AU-2019-2581544,2019-07-25,1,Not Given
AU-2019-2729236,2019-09-04,1,Not Given
AU-2019-2786633,2020-01-16,1,Wrong Item
AU-2019-2808501,2019-07-10,1,Not Given
AU-2019-2915494,2020-01-14,1,Wrong Item
AU-2019-2962545,2019-12-28,1,Wrong Item
AU-2019-2987306,2020-01-17,1,Wrong Item
AU-2019-3047839,2019-08-13,1,Not Given
AU-2019-3072090,2020-01-01,1,Wrong Item
AU-2019-3301871,2019-12-31,1,Wrong Item
AU-2019-3427157,2019-08-06,1,Not Given
AU-2019-3523096,2019-12-28,1,Wrong Item
AU-2019-3619989,2020-01-19,1,Wrong Item
AU-2019-3670,2019-12-23,1,Wrong Item
AU-2019-4052663,2019-12-17,1,Wrong Item
AU-2019-4192080,2019-07-15,1,Not Given
AU-2019-4328025,2019-07-04,1,Not Given
AU-2019-4331926,2019-08-12,1,Not Given
AU-2019-4632959,2020-01-15,1,Wrong Item
AU-2019-482065,2019-07-12,1,Not Given
AU-2019-4866957,2019-12-21,1,Wrong Item
AU-2019-4955323,2020-01-02,1,Wrong Item
AU-2019-4971231,2019-08-30,1,Not Given
AU-2019-5120220,2019-12-29,1,Wrong Item
AU-2019-5172058,2019-08-04,1,Not Given
AU-2019-5269027,2019-12-12,1,Wrong Item
AU-2019-5322155,2020-01-13,1,Wrong Item
AU-2019-5347922,2019-12-09,1,Wrong Item
AU-2019-5434317,2020-01-01,1,Wrong Item
AU-2019-5538971,2020-01-19,1,Wrong Item
AU-2019-554074,2020-01-21,1,Wrong Item
AU-2019-5763053,2019-11-23,1,Wrong Item
AU-2019-5929194,2019-08-19,1,Not Given
AU-2019-5950506,2020-01-18,1,Wrong Item
AU-2019-631881,2019-07-19,1,Not Given
AU-2019-664750,2019-08-01,1,Not Given
AU-2019-792535,2019-12-13,1,Wrong Item
AU-2019-800,2019-07-25,1,Not Given
AU-2019-800610,2019-12-23,1,Wrong Item
AU-2019-907728,2019-12-22,1,Wrong Item
AU-2019-92283,2019-12-18,1,Wrong Item
AU-2019-993232,2019-07-04,1,Not Given
AU-2020-1104334,2020-02-03,1,Wrong Item
AU-2020-1320434,2020-01-09,1,Wrong Item
AU-2020-1348776,2020-01-28,1,Wrong Item
AU-2020-3808927,2020-01-27,1,Wrong Item
AU-2020-4016591,2020-02-03,1,Wrong Item
AU-2020-4211532,2020-01-17,1,Wrong Item
AU-2020-4332584,2020-01-11,1,Wrong Item
AU-2020-4537669,2020-01-21,1,Wrong Item
BU-2016-1277953,2016-09-20,1,Wrong Item
BU-2016-264649,2016-08-04,1,Wrong Item
BU-2016-2868904,2016-09-04,1,Wrong Item
BU-2016-3701077,2016-09-13,1,Wrong Item
BU-2016-5092094,2016-09-23,1,Wrong Item
BU-2018-1040486,2018-10-16,1,Not Given
BU-2018-1044598,2018-09-29,1,Not Given
BU-2018-105922,2018-12-26,1,Wrong Item
BU-2018-107250,2018-10-24,1,Not Given
BU-2018-1172644,2018-10-10,1,Not Given
BU-2018-136377,2018-10-06,1,Not Given
BU-2018-14517,2018-10-16,1,Not Given
BU-2018-1469212,2018-09-08,1,Not Given
BU-2018-1505759,2018-03-23,2,Not Given
BU-2018-1519861,2018-12-13,1,Wrong Item
BU-2018-1553463,2018-09-23,1,Not Given
BU-2018-1641099,2018-12-20,1,Wrong Item
BU-2018-1642867,2018-04-29,2,Not Given
BU-2018-1959205,2018-05-16,2,Not Given
BU-2018-2206068,2018-10-20,1,Not Given
BU-2018-220751,2018-12-24,1,Wrong Item
BU-2018-2234692,2018-11-23,1,Wrong Item
BU-2018-2275173,2019-01-03,1,Wrong Item
BU-2018-2307415,2018-12-28,1,Wrong Item
BU-2018-2317424,2018-09-26,1,Not Given
BU-2018-2340127,2018-10-11,1,Not Given
BU-2018-2355690,2018-04-03,2,Not Given
BU-2018-2413231,2018-11-28,1,Wrong Item
BU-2018-2474493,2018-10-26,1,Wrong Item
BU-2018-2570064,2018-08-29,1,Not Given
BU-2018-2612420,2018-09-18,1,Not Given
BU-2018-2644888,2018-12-30,1,Wrong Item
BU-2018-2713378,2018-09-11,1,Not Given
BU-2018-2719644,2018-11-23,1,Wrong Item
BU-2018-2902933,2018-11-22,1,Wrong Item
BU-2018-2962148,2018-11-13,1,Wrong Item
BU-2018-2984733,2018-10-01,1,Not Given
BU-2018-3007128,2018-09-03,1,Not Given
BU-2018-3044888,2018-04-17,2,Not Given
BU-2018-3136684,2018-10-12,1,Not Given
BU-2018-32434,2018-12-01,1,Wrong Item
BU-2018-3343441,2018-11-26,1,Wrong Item
BU-2018-3518748,2018-11-07,1,Wrong Item
BU-2018-355069,2018-10-29,1,Not Given
BU-2018-3604546,2018-05-07,2,Not Given
BU-2018-3657620,2018-10-16,1,Not Given
BU-2018-3672894,2018-10-19,1,Not Given
BU-2018-3730,2018-04-29,2,Not Given
BU-2018-3812096,2018-10-28,1,Wrong Item
BU-2018-3828634,2018-09-28,1,Not Given
BU-2018-391694,2018-11-21,1,Wrong Item
BU-2018-4020,2018-09-16,1,Not Given
BU-2018-4132344,2018-10-14,1,Not Given
BU-2018-4213420,2018-11-20,1,Wrong Item
BU-2018-4340102,2018-11-13,1,Wrong Item
BU-2018-449544,2019-01-01,1,Wrong Item
BU-2018-4767412,2018-10-26,1,Wrong Item
BU-2018-4866873,2018-09-27,1,Not Given
BU-2018-4943220,2018-10-20,1,Not Given
BU-2018-4977448,2018-09-18,1,Not Given
BU-2018-5177459,2018-12-04,1,Wrong Item
BU-2018-522415,2018-03-21,2,Not Given
BU-2018-5304718,2018-11-21,1,Wrong Item
BU-2018-532526,2018-04-28,2,Not Given
BU-2018-5328496,2018-09-30,1,Not Given
BU-2018-537575,2018-09-26,1,Not Given
BU-2018-5561397,2018-10-02,1,Not Given
BU-2018-5563496,2018-11-30,1,Wrong Item
BU-2018-630259,2018-09-16,1,Not Given
BU-2018-664433,2018-08-17,1,Not Given
BU-2018-70727,2018-10-23,1,Wrong Item
BU-2018-778391,2018-10-15,1,Not Given
BU-2018-836438,2018-09-15,1,Not Given
BU-2018-843950,2018-04-10,2,Not Given
BU-2018-929417,2018-10-03,1,Not Given
BU-2018-990747,2018-05-14,2,Not Given
CA-2016-100706,2016-12-24,1,Wrong Color
CA-2016-100867,2016-10-24,1,Wrong Item
CA-2016-1013462,2017-01-19,1,Not Needed
CA-2016-101364,2017-01-06,1,Not Needed
CA-2016-1022613,2017-01-13,1,Wrong Item
CA-2016-102673,2016-11-13,1,Not Needed
CA-2016-103849,2016-06-07,1,Wrong Color
CA-2016-1041658,2016-10-12,2,Not Given
CA-2016-104780,2016-06-13,1,Not Needed
CA-2016-104808,2016-02-20,1,Wrong Item
CA-2016-1056109,2016-10-09,1,Wrong Color
CA-2016-106229,2016-07-02,1,Wrong Item
CA-2016-106971,2016-09-13,1,Not Needed
CA-2016-109043,2016-09-10,1,Not Needed
CA-2016-110184,2016-07-23,1,Not Given
CA-2016-1102834,2016-11-18,1,Wrong Item
CA-2016-1121736,2016-10-10,1,Not Needed
CA-2016-114321,2016-08-25,1,Wrong Color
CA-2016-115049,2016-10-09,1,Wrong Item
CA-2016-115812,2016-06-17,1,Not Given
CA-2016-1163583,2016-04-02,1,Not Given
CA-2016-117464,2016-08-01,1,Wrong Color
CA-2016-1179980,2016-10-21,1,Not Given
CA-2016-118339,2016-04-09,1,Wrong Item
CA-2016-1226681,2016-06-14,1,Not Given
CA-2016-1230823,2017-01-13,1,Wrong Item
CA-2016-124730,2016-12-06,1,Not Needed
CA-2016-1247455,2016-10-16,1,Not Needed
CA-2016-125556,2016-11-17,1,Not Needed
CA-2016-125612,2016-08-14,1,Not Needed
CA-2016-127159,2016-06-09,1,Not Needed
CA-2016-127166,2016-05-30,1,Not Needed
CA-2016-1276470,2016-12-13,1,Not Needed
CA-2016-128888,2016-11-27,1,Not Given
CA-2016-130155,2016-06-04,1,Wrong Item
CA-2016-131310,2016-07-28,1,Not Needed
CA-2016-131905,2016-03-05,1,Wrong Item
CA-2016-132801,2016-10-30,1,Not Given
CA-2016-1328253,2016-11-14,1,Wrong Item
CA-2016-132864,2016-12-08,1,Wrong Item
CA-2016-1350545,2016-10-06,1,Not Needed
CA-2016-1364301,2016-10-26,1,Not Needed
CA-2016-136567,2017-01-16,1,Not Needed
CA-2016-139192,2016-06-24,1,Wrong Item
CA-2016-1399145,2016-11-30,1,Wrong Item
CA-2016-140396,2016-12-03,1,Not Given
CA-2016-1408556,2016-05-28,1,Not Given
CA-2016-141941,2016-04-19,1,Not Needed
CA-2016-142314,2017-01-11,1,Wrong Item
CA-2016-142951,2016-11-02,1,Wrong Color
CA-2016-1447325,2016-10-12,1,Not Needed
CA-2016-144974,2016-10-24,1,Wrong Color
CA-2016-146731,2016-11-09,2,Not Given
CA-2016-147900,2016-10-10,1,Not Given
CA-2016-148488,2016-12-22,1,Not Given
CA-2016-148950,2016-12-24,1,Wrong Color
CA-2016-1498012,2016-08-23,1,Wrong Color
CA-2016-151330,2016-11-09,1,Not Needed
CA-2016-1514598,2016-06-14,1,Wrong Item
CA-2016-152100,2016-06-08,1,Not Given
CA-2016-1525606,2016-09-10,1,Not Given
CA-2016-1530300,2016-08-22,1,Not Needed
CA-2016-154627,2016-11-15,1,Wrong Item
CA-2016-1547028,2016-08-10,1,Wrong Item
CA-2016-1551533,2016-11-24,1,Wrong Item
CA-2016-1558618,2016-11-13,1,Not Given
