product_id,category,sub_category,product_name,product_cost_to_consumer
FUR-BAR-10004682,Furniture,Tables,"Barricks Round Table, Fully Assembled",502.98
FUR-BEV-10000326,Furniture,Tables,"Bevis Wood Table, Rectangular",531.18
FUR-BEV-10000388,Furniture,Tables,"Bevis Coffee Table, Rectangular",315.75
FUR-BEV-10001048,Furniture,Tables,"Bevis Conference Table, with Bottom Storage",923.76
FUR-BEV-10001217,Furniture,Tables,"Bevis Wood Table, Fully Assembled",535.08
FUR-BEV-10001853,Furniture,Tables,"Bevis Computer Table, Adjustable Height",492.09
FUR-BEV-10002193,Furniture,Tables,"Bevis Round Table, Adjustable Height",208.15
FUR-BEV-10002369,Furniture,Tables,"Bevis Training Table, Fully Assembled",100.94
FUR-BEV-10002803,Furniture,Tables,"Bevis Conference Table, Fully Assembled",925.23
FUR-BEV-10003414,Furniture,Tables,"Bevis Computer Table, Fully Assembled",495.99
FUR-BEV-10004805,Furniture,Tables,"Bevis Conference Table, Rectangular",921.33
FUR-BEV-10004919,Furniture,Tables,"Bevis Wood Table, with Bottom Storage",533.61
FUR-BO-10000002,Furniture,Bookcases,"Bush Classic Bookcase, Mobile",373.68
FUR-BO-10000008,Furniture,Bookcases,"Sauder Library with Doors, Traditional",232.58
FUR-BO-10000021,Furniture,Bookcases,"Dania Corner Shelving, Metal",121.53
FUR-BO-10000022,Furniture,Bookcases,"Dania Floating Shelf Set, Traditional",169.35
FUR-BO-10000034,Furniture,Bookcases,"Safco Classic Bookcase, Pine",219.75
FUR-BO-10000035,Furniture,Bookcases,"Dania Classic Bookcase, Pine",383.26
FUR-BO-10000038,Furniture,Bookcases,"Bush Library with Doors, Pine",97.51
FUR-BO-10000071,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Metal",106.03
FUR-BO-10000087,Furniture,Bookcases,"Sauder Corner Shelving, Pine",79.28
FUR-BO-10000112,Furniture,Bookcases,"Bush Birmingham Collection Bookcase, Dark Cherry",91.69
FUR-BO-10000120,Furniture,Bookcases,"Sauder Stackable Bookrack, Mobile",73.41
FUR-BO-10000148,Furniture,Bookcases,"Bush 3-Shelf Cabinet, Metal",95.22
FUR-BO-10000155,Furniture,Bookcases,"Dania Corner Shelving, Metal",109.38
FUR-BO-10000160,Furniture,Bookcases,"Safco Library with Doors, Pine",352.03
FUR-BO-10000170,Furniture,Bookcases,"Safco Library with Doors, Mobile",353.08
FUR-BO-10000175,Furniture,Bookcases,"Ikea Stackable Bookrack, Metal",113.5
FUR-BO-10000184,Furniture,Bookcases,"Sauder Floating Shelf Set, Mobile",52.56
FUR-BO-10000195,Furniture,Bookcases,"Dania Stackable Bookrack, Pine",111.7
FUR-BO-10000203,Furniture,Bookcases,"Sauder Library with Doors, Metal",387.09
FUR-BO-10000208,Furniture,Bookcases,"Bush Stackable Bookrack, Mobile",123.51
FUR-BO-10000210,Furniture,Bookcases,"Ikea Library with Doors, Pine",364.74
FUR-BO-10000214,Furniture,Bookcases,"Ikea Library with Doors, Pine",97.26
FUR-BO-10000243,Furniture,Bookcases,"Safco Floating Shelf Set, Pine",178.28
FUR-BO-10000259,Furniture,Bookcases,"Safco Classic Bookcase, Traditional",438.15
FUR-BO-10000265,Furniture,Bookcases,"Bush Floating Shelf Set, Pine",155.36
FUR-BO-10000268,Furniture,Bookcases,"Ikea 3-Shelf Cabinet, Traditional",94.96
FUR-BO-10000269,Furniture,Bookcases,"Dania Stackable Bookrack, Pine",49.64
FUR-BO-10000279,Furniture,Bookcases,"Dania Classic Bookcase, Pine",370.9
FUR-BO-10000288,Furniture,Bookcases,"Safco Classic Bookcase, Traditional",438.15
FUR-BO-10000311,Furniture,Bookcases,"Safco Floating Shelf Set, Metal",176.58
FUR-BO-10000321,Furniture,Bookcases,"Dania Floating Shelf Set, Mobile",68.75
FUR-BO-10000330,Furniture,Bookcases,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",120.98
FUR-BO-10000362,Furniture,Bookcases,Sauder Inglewood Library Bookcases,119.69
FUR-BO-10000378,Furniture,Bookcases,"Bush Floating Shelf Set, Pine",69.05
FUR-BO-10000402,Furniture,Bookcases,"Sauder Stackable Bookrack, Traditional",146.28
FUR-BO-10000411,Furniture,Bookcases,"Sauder Floating Shelf Set, Metal",103.49
FUR-BO-10000425,Furniture,Bookcases,"Bush Floating Shelf Set, Traditional",171.27
FUR-BO-10000468,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,14.57
FUR-BO-10000490,Furniture,Bookcases,"Bush Library with Doors, Metal",327.4
FUR-BO-10000502,Furniture,Bookcases,"Sauder Classic Bookcase, Mobile",233.87
FUR-BO-10000514,Furniture,Bookcases,"Bush Library with Doors, Traditional",327.89
FUR-BO-10000517,Furniture,Bookcases,"Ikea Stackable Bookrack, Metal",32.54
FUR-BO-10000533,Furniture,Bookcases,"Dania Corner Shelving, Pine",123.42
FUR-BO-10000567,Furniture,Bookcases,"Sauder Classic Bookcase, Traditional",174.4
FUR-BO-10000596,Furniture,Bookcases,"Sauder Classic Bookcase, Mobile",219.25
FUR-BO-10000610,Furniture,Bookcases,"Ikea Stackable Bookrack, Mobile",125.1
FUR-BO-10000616,Furniture,Bookcases,"Dania Corner Shelving, Pine",74.05
FUR-BO-10000623,Furniture,Bookcases,"Safco Library with Doors, Metal",155.7
FUR-BO-10000624,Furniture,Bookcases,"Safco Classic Bookcase, Metal",233.39
FUR-BO-10000636,Furniture,Bookcases,"Dania Floating Shelf Set, Metal",90.03
FUR-BO-10000655,Furniture,Bookcases,"Dania Classic Bookcase, Traditional",369.68
FUR-BO-10000666,Furniture,Bookcases,"Ikea 3-Shelf Cabinet, Mobile",144.96
FUR-BO-10000668,Furniture,Bookcases,"Sauder Classic Bookcase, Mobile",407.81
FUR-BO-10000670,Furniture,Bookcases,"Dania Corner Shelving, Metal",121.53
FUR-BO-10000676,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",63.02
FUR-BO-10000684,Furniture,Bookcases,"Sauder Corner Shelving, Traditional",132.57
FUR-BO-10000699,Furniture,Bookcases,"Sauder 3-Shelf Cabinet, Traditional",150.01
FUR-BO-10000700,Furniture,Bookcases,"Sauder Floating Shelf Set, Metal",116.42
FUR-BO-10000711,Furniture,Bookcases,"Hon Metal Bookcases, Gray",70.98
FUR-BO-10000712,Furniture,Bookcases,"Bush Corner Shelving, Pine",125.34
FUR-BO-10000728,Furniture,Bookcases,"Ikea Classic Bookcase, Mobile",220.94
FUR-BO-10000734,Furniture,Bookcases,"Bush Corner Shelving, Pine",66.85
FUR-BO-10000746,Furniture,Bookcases,"Ikea Corner Shelving, Mobile",50.23
FUR-BO-10000780,Furniture,Bookcases,O'Sullivan Plantations 2-Door Library in Landvery Oak,136.67
FUR-BO-10000786,Furniture,Bookcases,"Sauder Stackable Bookrack, Pine",148.17
FUR-BO-10000791,Furniture,Bookcases,"Dania Library with Doors, Traditional",96.64
FUR-BO-10000797,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Pine",153.17
FUR-BO-10000807,Furniture,Bookcases,"Sauder Floating Shelf Set, Mobile",118.26
FUR-BO-10000820,Furniture,Bookcases,"Sauder 3-Shelf Cabinet, Metal",149.53
FUR-BO-10000847,Furniture,Bookcases,"Dania Stackable Bookrack, Mobile",109.43
FUR-BO-10000883,Furniture,Bookcases,"Dania Corner Shelving, Mobile",124.59
FUR-BO-10000889,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Mobile",102.82
FUR-BO-10000891,Furniture,Bookcases,"Ikea Classic Bookcase, Pine",275.4
FUR-BO-10000892,Furniture,Bookcases,"Bush Corner Shelving, Mobile",126.51
FUR-BO-10000895,Furniture,Bookcases,"Sauder Corner Shelving, Metal",146.76
FUR-BO-10000936,Furniture,Bookcases,"Bush Floating Shelf Set, Traditional",171.27
FUR-BO-10000961,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",62.43
FUR-BO-10000967,Furniture,Bookcases,"Ikea Library with Doors, Pine",145.9
FUR-BO-10000980,Furniture,Bookcases,"Bush Library with Doors, Traditional",364.32
FUR-BO-10001003,Furniture,Bookcases,"Dania 3-Shelf Cabinet, Traditional",141.45
FUR-BO-10001010,Furniture,Bookcases,"Dania Corner Shelving, Mobile",112.13
FUR-BO-10001039,Furniture,Bookcases,"Dania Classic Bookcase, Traditional",410.76
FUR-BO-10001042,Furniture,Bookcases,"Dania 3-Shelf Cabinet, Pine",95.2
FUR-BO-10001067,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",49.94
FUR-BO-10001073,Furniture,Bookcases,"Safco Classic Bookcase, Metal",437.61
FUR-BO-10001099,Furniture,Bookcases,"Bush Corner Shelving, Traditional",49.6
FUR-BO-10001133,Furniture,Bookcases,"Ikea Classic Bookcase, Mobile",414.27
FUR-BO-10001147,Furniture,Bookcases,"Bush Floating Shelf Set, Metal",170.73
FUR-BO-10001155,Furniture,Bookcases,"Dania 3-Shelf Cabinet, Traditional",141.45
FUR-BO-10001165,Furniture,Bookcases,"Bush Library with Doors, Mobile",366.84
FUR-BO-10001192,Furniture,Bookcases,"Bush Library with Doors, Mobile",330.16
FUR-BO-10001196,Furniture,Bookcases,"Bush Library with Doors, Pine",365.67
FUR-BO-10001201,Furniture,Bookcases,"Bush Stackable Bookrack, Mobile",82.34
FUR-BO-10001212,Furniture,Bookcases,"Safco Classic Bookcase, Mobile",396.6
FUR-BO-10001216,Furniture,Bookcases,"Sauder 3-Shelf Cabinet, Mobile",109.98
FUR-BO-10001233,Furniture,Bookcases,"Ikea 3-Shelf Cabinet, Mobile",86.98
FUR-BO-10001254,Furniture,Bookcases,"Dania 3-Shelf Cabinet, Mobile",143.97
FUR-BO-10001255,Furniture,Bookcases,"Ikea Library with Doors, Mobile",182.96
FUR-BO-10001256,Furniture,Bookcases,"Ikea Corner Shelving, Pine",111.97
FUR-BO-10001271,Furniture,Bookcases,"Sauder Classic Bookcase, Pine",116.62
FUR-BO-10001276,Furniture,Bookcases,"Safco Floating Shelf Set, Mobile",53.14
FUR-BO-10001287,Furniture,Bookcases,"Dania Floating Shelf Set, Metal",168.81
FUR-BO-10001295,Furniture,Bookcases,"Safco Floating Shelf Set, Traditional",131.16
FUR-BO-10001309,Furniture,Bookcases,"Ikea Classic Bookcase, Traditional",411.75
FUR-BO-10001318,Furniture,Bookcases,"Safco Library with Doors, Mobile",104.62
FUR-BO-10001324,Furniture,Bookcases,"Sauder Floating Shelf Set, Pine",176.34
FUR-BO-10001326,Furniture,Bookcases,"Bush 3-Shelf Cabinet, Pine",144.72
FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,102.83
FUR-BO-10001342,Furniture,Bookcases,"Safco Corner Shelving, Metal",148.92
FUR-BO-10001356,Furniture,Bookcases,"Ikea Library with Doors, Mobile",243.94
FUR-BO-10001358,Furniture,Bookcases,"Bush 3-Shelf Cabinet, Traditional",57.35
FUR-BO-10001362,Furniture,Bookcases,"Ikea Classic Bookcase, Metal",411.21
FUR-BO-10001369,Furniture,Bookcases,"Sauder Stackable Bookrack, Mobile",97.88
FUR-BO-10001370,Furniture,Bookcases,"Sauder Classic Bookcase, Mobile",263.11
FUR-BO-10001372,Furniture,Bookcases,"Safco Classic Bookcase, Pine",439.5
FUR-BO-10001385,Furniture,Bookcases,"Sauder Corner Shelving, Metal",132.08
FUR-BO-10001387,Furniture,Bookcases,"Safco Floating Shelf Set, Traditional",98.37
FUR-BO-10001390,Furniture,Bookcases,"Bush Floating Shelf Set, Traditional",114.18
FUR-BO-10001392,Furniture,Bookcases,"Sauder Classic Bookcase, Traditional",435.99
FUR-BO-10001393,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Pine",158.28
FUR-BO-10001405,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",124.86
FUR-BO-10001436,Furniture,Bookcases,"Bush Corner Shelving, Traditional",99.19
FUR-BO-10001452,Furniture,Bookcases,"Dania Stackable Bookrack, Pine",124.11
FUR-BO-10001461,Furniture,Bookcases,"Safco Floating Shelf Set, Traditional",196.74
FUR-BO-10001471,Furniture,Bookcases,"Sauder Classic Bookcase, Metal",435.45
FUR-BO-10001476,Furniture,Bookcases,"Safco Corner Shelving, Pine",80.43
FUR-BO-10001483,Furniture,Bookcases,"Bush Corner Shelving, Metal",82.3
FUR-BO-10001498,Furniture,Bookcases,"Dania Classic Bookcase, Pine",274.74
FUR-BO-10001501,Furniture,Bookcases,"Bush Classic Bookcase, Metal",259.65
FUR-BO-10001507,Furniture,Bookcases,"Ikea Library with Doors, Traditional",242.26
FUR-BO-10001519,Furniture,Bookcases,O'Sullivan 3-Shelf Heavy-Duty Bookcases,29.07
FUR-BO-10001524,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",33.3
FUR-BO-10001537,Furniture,Bookcases,"Ikea Corner Shelving, Metal",122.52
FUR-BO-10001541,Furniture,Bookcases,"Bush Stackable Bookrack, Traditional",114.36
FUR-BO-10001553,Furniture,Bookcases,"Sauder Library with Doors, Traditional",387.63
FUR-BO-10001555,Furniture,Bookcases,"Bush Corner Shelving, Metal",123.45
FUR-BO-10001558,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Pine",170.19
FUR-BO-10001567,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",30.29
FUR-BO-10001580,Furniture,Bookcases,"Dania Stackable Bookrack, Pine",77.45
FUR-BO-10001585,Furniture,Bookcases,"Sauder Floating Shelf Set, Mobile",197.1
FUR-BO-10001596,Furniture,Bookcases,"Dania Library with Doors, Mobile",194.62
FUR-BO-10001598,Furniture,Bookcases,"Bush Corner Shelving, Pine",125.34
FUR-BO-10001601,Furniture,Bookcases,"Sauder Mission Library with Doors, Fruitwood Finish",89.07
FUR-BO-10001608,Furniture,Bookcases,"Hon Metal Bookcases, Black",70.98
FUR-BO-10001619,Furniture,Bookcases,O'Sullivan Cherrywood Estates Traditional Bookcase,67.98
FUR-BO-10001621,Furniture,Bookcases,"Dania Stackable Bookrack, Traditional",48.42
FUR-BO-10001641,Furniture,Bookcases,"Bush 3-Shelf Cabinet, Traditional",143.37
FUR-BO-10001646,Furniture,Bookcases,"Safco Corner Shelving, Metal",99.28
FUR-BO-10001668,Furniture,Bookcases,"Ikea Floating Shelf Set, Pine",108.16
FUR-BO-10001679,Furniture,Bookcases,"Ikea 3-Shelf Cabinet, Traditional",85.46
FUR-BO-10001699,Furniture,Bookcases,"Ikea 3-Shelf Cabinet, Mobile",38.66
FUR-BO-10001708,Furniture,Bookcases,"Safco Stackable Bookrack, Pine",151.5
FUR-BO-10001714,Furniture,Bookcases,"Dania Floating Shelf Set, Mobile",154.68
FUR-BO-10001721,Furniture,Bookcases,"Bush Corner Shelving, Mobile",84.34
FUR-BO-10001739,Furniture,Bookcases,"Dania Classic Bookcase, Mobile",275.52
FUR-BO-10001746,Furniture,Bookcases,"Dania 3-Shelf Cabinet, Pine",85.68
FUR-BO-10001749,Furniture,Bookcases,"Bush Classic Bookcase, Traditional",412.68
FUR-BO-10001753,Furniture,Bookcases,"Dania Stackable Bookrack, Traditional",108.94
FUR-BO-10001779,Furniture,Bookcases,"Safco Stackable Bookrack, Pine",100.22
FUR-BO-10001781,Furniture,Bookcases,"Bush Library with Doors, Traditional",194.3
FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,65.49
FUR-BO-10001811,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",240.78
FUR-BO-10001822,Furniture,Bookcases,"Dania Library with Doors, Metal",361.86
FUR-BO-10001831,Furniture,Bookcases,"Sauder Floating Shelf Set, Metal",194.04
FUR-BO-10001834,Furniture,Bookcases,"Ikea 3-Shelf Cabinet, Mobile",144.96
FUR-BO-10001835,Furniture,Bookcases,"Safco Library with Doors, Traditional",389.79
FUR-BO-10001860,Furniture,Bookcases,"Sauder Corner Shelving, Traditional",147.3
FUR-BO-10001867,Furniture,Bookcases,"Dania Corner Shelving, Mobile",83.06
FUR-BO-10001872,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",74.92
FUR-BO-10001873,Furniture,Bookcases,"Ikea Floating Shelf Set, Mobile",69.14
FUR-BO-10001874,Furniture,Bookcases,"Sauder Corner Shelving, Pine",138.24
FUR-BO-10001875,Furniture,Bookcases,"Bush Library with Doors, Mobile",366.84
FUR-BO-10001876,Furniture,Bookcases,"Safco Corner Shelving, Pine",135.73
FUR-BO-10001888,Furniture,Bookcases,"Dania Floating Shelf Set, Pine",153.63
FUR-BO-10001892,Furniture,Bookcases,"Sauder Library with Doors, Pine",194.49
FUR-BO-10001918,Furniture,Bookcases,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",136.83
FUR-BO-10001934,Furniture,Bookcases,"Bush Library with Doors, Metal",338.32
FUR-BO-10001943,Furniture,Bookcases,"Safco Library with Doors, Traditional",350.81
FUR-BO-10001946,Furniture,Bookcases,"Sauder 3-Shelf Cabinet, Metal",88.61
FUR-BO-10001966,Furniture,Bookcases,"Ikea Corner Shelving, Metal",81.68
FUR-BO-10001967,Furniture,Bookcases,"Safco Corner Shelving, Mobile",136.78
FUR-BO-10001969,Furniture,Bookcases,"Sauder 3-Shelf Cabinet, Pine",112.02
FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,36.29
FUR-BO-10002000,Furniture,Bookcases,"Ikea Classic Bookcase, Metal",382.43
FUR-BO-10002003,Furniture,Bookcases,"Sauder Classic Bookcase, Metal",217.73
FUR-BO-10002008,Furniture,Bookcases,"Bush Stackable Bookrack, Traditional",65.58
FUR-BO-10002031,Furniture,Bookcases,"Sauder Classic Bookcase, Pine",262.4
FUR-BO-10002032,Furniture,Bookcases,"Ikea Stackable Bookrack, Pine",123.93
FUR-BO-10002042,Furniture,Bookcases,"Bush Classic Bookcase, Metal",109.9
FUR-BO-10002084,Furniture,Bookcases,"Dania Library with Doors, Metal",192.99
FUR-BO-10002109,Furniture,Bookcases,"Safco Stackable Bookrack, Pine",101.0
FUR-BO-10002133,Furniture,Bookcases,"Bush Corner Shelving, Mobile",126.51
FUR-BO-10002142,Furniture,Bookcases,"Ikea Classic Bookcase, Traditional",164.7
FUR-BO-10002182,Furniture,Bookcases,"Safco Floating Shelf Set, Pine",178.28
FUR-BO-10002202,Furniture,Bookcases,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",163.87
FUR-BO-10002204,Furniture,Bookcases,"Bush Classic Bookcase, Pine",269.12
FUR-BO-10002206,Furniture,Bookcases,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",119.83
FUR-BO-10002213,Furniture,Bookcases,"Sauder Forest Hills Library, Woodland Oak Finish",119.83
FUR-BO-10002214,Furniture,Bookcases,"Dania Floating Shelf Set, Traditional",67.74
FUR-BO-10002235,Furniture,Bookcases,"Bush 3-Shelf Cabinet, Pine",77.18
FUR-BO-10002250,Furniture,Bookcases,"Dania Floating Shelf Set, Mobile",114.58
FUR-BO-10002268,Furniture,Bookcases,Sauder Barrister Bookcases,24.29
FUR-BO-10002277,Furniture,Bookcases,"Bush Floating Shelf Set, Mobile",161.62
FUR-BO-10002285,Furniture,Bookcases,"Safco Corner Shelving, Pine",98.03
FUR-BO-10002289,Furniture,Bookcases,"Ikea Corner Shelving, Pine",124.41
FUR-BO-10002300,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Mobile",137.09
FUR-BO-10002308,Furniture,Bookcases,"Safco Floating Shelf Set, Metal",196.2
FUR-BO-10002309,Furniture,Bookcases,"Dania 3-Shelf Cabinet, Traditional",75.44
FUR-BO-10002318,Furniture,Bookcases,"Dania Classic Bookcase, Mobile",413.28
FUR-BO-10002324,Furniture,Bookcases,"Sauder Stackable Bookrack, Pine",99.56
FUR-BO-10002325,Furniture,Bookcases,"Bush Classic Bookcase, Metal",274.76
FUR-BO-10002334,Furniture,Bookcases,"Ikea 3-Shelf Cabinet, Pine",95.86
FUR-BO-10002346,Furniture,Bookcases,"Dania Stackable Bookrack, Mobile",81.06
FUR-BO-10002352,Furniture,Bookcases,"Ikea 3-Shelf Cabinet, Mobile",57.98
FUR-BO-10002378,Furniture,Bookcases,"Dania 3-Shelf Cabinet, Metal",75.15
FUR-BO-10002383,Furniture,Bookcases,"Sauder Floating Shelf Set, Pine",130.62
FUR-BO-10002387,Furniture,Bookcases,"Safco Library with Doors, Metal",350.32
FUR-BO-10002390,Furniture,Bookcases,"Ikea Library with Doors, Metal",362.85
FUR-BO-10002423,Furniture,Bookcases,"Safco Floating Shelf Set, Mobile",179.33
FUR-BO-10002444,Furniture,Bookcases,"Sauder Library with Doors, Mobile",351.13
FUR-BO-10002462,Furniture,Bookcases,"Ikea Classic Bookcase, Pine",371.79
FUR-BO-10002471,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Metal",67.32
FUR-BO-10002510,Furniture,Bookcases,"Bush 3-Shelf Cabinet, Mobile",116.71
FUR-BO-10002529,Furniture,Bookcases,"Safco Library with Doors, Metal",350.32
FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",260.98
FUR-BO-10002574,Furniture,Bookcases,"Bush Corner Shelving, Traditional",33.06
FUR-BO-10002580,Furniture,Bookcases,"Safco Classic Bookcase, Pine",175.8
FUR-BO-10002592,Furniture,Bookcases,"Safco Stackable Bookrack, Traditional",39.58
FUR-BO-10002598,Furniture,Bookcases,"Hon Metal Bookcases, Putty",70.98
FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",84.29
FUR-BO-10002632,Furniture,Bookcases,"Sauder Corner Shelving, Pine",148.65
FUR-BO-10002679,Furniture,Bookcases,"Ikea Stackable Bookrack, Mobile",83.4
FUR-BO-10002680,Furniture,Bookcases,"Sauder 3-Shelf Cabinet, Traditional",83.34
FUR-BO-10002682,Furniture,Bookcases,"Safco Stackable Bookrack, Mobile",134.08
FUR-BO-10002708,Furniture,Bookcases,"Dania Library with Doors, Pine",327.38
FUR-BO-10002736,Furniture,Bookcases,"Sauder Stackable Bookrack, Mobile",146.82
FUR-BO-10002738,Furniture,Bookcases,"Sauder Corner Shelving, Mobile",97.38
FUR-BO-10002740,Furniture,Bookcases,"Ikea Classic Bookcase, Metal",274.14
FUR-BO-10002766,Furniture,Bookcases,"Bush Classic Bookcase, Traditional",275.12
FUR-BO-10002781,Furniture,Bookcases,"Sauder Floating Shelf Set, Traditional",175.12
FUR-BO-10002782,Furniture,Bookcases,"Safco Corner Shelving, Traditional",59.78
FUR-BO-10002793,Furniture,Bookcases,"Safco Floating Shelf Set, Traditional",196.74
FUR-BO-10002812,Furniture,Bookcases,"Sauder 3-Shelf Cabinet, Pine",168.03
FUR-BO-10002819,Furniture,Bookcases,"Ikea Stackable Bookrack, Traditional",79.68
FUR-BO-10002824,Furniture,Bookcases,Bush Mission Pointe Library,102.67
FUR-BO-10002852,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",126.03
FUR-BO-10002853,Furniture,Bookcases,O'Sullivan 5-Shelf Heavy-Duty Bookcases,40.97
FUR-BO-10002866,Furniture,Bookcases,"Safco Classic Bookcase, Pine",263.7
FUR-BO-10002889,Furniture,Bookcases,"Dania Stackable Bookrack, Pine",111.7
FUR-BO-10002892,Furniture,Bookcases,"Safco Classic Bookcase, Mobile",396.6
FUR-BO-10002906,Furniture,Bookcases,"Ikea Corner Shelving, Traditional",65.63
FUR-BO-10002916,Furniture,Bookcases,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",170.98
FUR-BO-10002926,Furniture,Bookcases,"Bush Stackable Bookrack, Mobile",123.51
FUR-BO-10002936,Furniture,Bookcases,"Ikea Stackable Bookrack, Pine",111.54
FUR-BO-10002964,Furniture,Bookcases,"Dania Floating Shelf Set, Pine",107.54
FUR-BO-10002968,Furniture,Bookcases,"Bush Library with Doors, Metal",145.51
FUR-BO-10002975,Furniture,Bookcases,"Dania Stackable Bookrack, Traditional",64.56
FUR-BO-10002981,Furniture,Bookcases,"Bush Floating Shelf Set, Metal",68.29
FUR-BO-10002985,Furniture,Bookcases,"Sauder Corner Shelving, Mobile",99.88
FUR-BO-10002990,Furniture,Bookcases,"Dania Library with Doors, Traditional",362.4
FUR-BO-10002992,Furniture,Bookcases,"Dania Library with Doors, Traditional",144.96
FUR-BO-10003007,Furniture,Bookcases,"Ikea Stackable Bookrack, Metal",122.04
FUR-BO-10003022,Furniture,Bookcases,"Dania 3-Shelf Cabinet, Metal",140.91
