,order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit,postal_code,region_id
39,AE-2018-2667198,2018-10-07,2018-10-11,Standard Class,EB-4110,FUR-BUS-10003055,224.75,6,0.48,0.44,,6017.0
40,AE-2018-2733845,2018-12-25,2018-12-28,Second Class,MY-7380,OFF-TEN-10002817,6.97,1,0.33,0.29,,2898.0
41,AE-2018-2833355,2018-12-02,2018-12-04,Same Day,MY-7380,OFF-STI-10000114,16.67,2,0.33,0.29,,6093.0
42,AE-2018-2851717,2018-11-04,2018-11-06,Standard Class,EB-4110,FUR-BUS-10003055,224.75,6,0.48,0.44,,1546.0
43,AE-2018-286246,2018-12-25,2018-12-30,Second Class,MY-7380,OFF-TEN-10002817,6.97,1,0.33,0.29,,4792.0
44,AE-2018-286799,2018-12-04,2018-12-07,Second Class,MY-7380,OFF-TEN-10002817,6.97,1,0.33,0.29,,3998.0
45,AE-2018-3129971,2018-12-20,2018-12-21,Second Class,MY-7380,OFF-TEN-10002817,6.97,1,0.33,0.29,6484.0,5636.0
46,AE-2018-3158003,2018-11-05,2018-11-08,Standard Class,EB-4110,FUR-BUS-10003055,224.75,6,0.48,0.44,,3104.0
47,AE-2018-3183523,2018-11-03,2018-11-07,Standard Class,EB-4110,FUR-BUS-10003055,224.75,6,0.48,0.44,,3855.0
48,AE-2018-3298485,2018-10-08,2018-10-09,Standard Class,EB-4110,FUR-BUS-10003055,224.75,6,0.48,0.44,,4792.0
49,AE-2018-3425910,2018-11-04,2018-11-09,Standard Class,EB-4110,FUR-BUS-10003055,224.75,6,0.48,0.44,,4958.0
50,AE-2018-3501199,2018-11-11,2018-11-15,Same Day,EB-4110,OFF-ACC-10004278,4.25,1,0.28,0.24,,3104.0
51,AE-2018-3534908,2018-09-17,2018-09-17,Same Day,EB-4110,OFF-ACC-10004278,4.25,1,0.28,0.24,19143.0,5636.0
52,AE-2018-3542313,2018-12-16,2018-12-21,Second Class,MY-7380,OFF-TEN-10002817,6.97,1,0.33,0.29,,1666.0
53,AE-2018-3565840,2018-11-13,2018-11-16,Same Day,EB-4110,OFF-ACC-10004278,4.25,1,0.28,0.24,,17455.0
54,AE-2018-365313,2018-09-14,2018-09-16,Standard Class,EB-4110,FUR-BUS-10003055,224.75,6,0.48,0.44,,1784.0
55,AE-2018-3660867,2018-11-03,2018-11-05,Same Day,EB-4110,OFF-ACC-10004278,4.25,1,0.28,0.24,,3104.0
56,AE-2018-3843290,2018-12-21,2018-12-23,Same Day,MY-7380,OFF-STI-10000114,16.67,2,0.33,0.29,76106.0,1488.0
57,AE-2018-3907085,2018-11-13,2018-11-18,Standard Class,EB-4110,FUR-BUS-10003055,224.75,6,0.48,0.44,,4792.0
58,AE-2018-4026006,2018-10-19,2018-10-24,Same Day,EB-4110,OFF-ACC-10004278,4.25,1,0.28,0.24,90049.0,4553.0
59,AE-2018-4141062,2018-09-24,2018-09-26,Same Day,EB-4110,OFF-ACC-10004278,4.25,1,0.28,0.24,,3104.0
60,AE-2018-4217207,2018-10-10,2018-10-11,Standard Class,EB-4110,FUR-BUS-10003055,224.75,6,0.48,0.44,,3031.0
61,AE-2018-4330504,2018-12-28,2018-12-28,Same Day,MY-7380,OFF-STI-10000114,16.67,2,0.33,0.29,27834.0,3688.0
62,AE-2018-4355037,2018-11-03,2018-11-08,Same Day,EB-4110,OFF-ACC-10004278,4.25,1,0.28,0.24,,4792.0
63,AE-2018-4419805,2018-10-09,2018-10-12,Same Day,EB-4110,OFF-ACC-10004278,4.25,1,0.28,0.24,60653.0,1488.0
64,AE-2018-4627747,2018-11-08,2018-11-11,Same Day,EB-4110,OFF-ACC-10004278,4.25,1,0.28,0.24,,6017.0
65,AE-2018-4692895,2018-09-17,2018-09-17,Same Day,EB-4110,OFF-ACC-10004278,4.25,1,0.28,0.24,,2125.0
66,AE-2018-4745815,2018-11-07,2018-11-12,Standard Class,EB-4110,FUR-BUS-10003055,224.75,6,0.48,0.44,44105.0,5636.0
67,AE-2018-4948955,2018-10-08,2018-10-10,Same Day,EB-4110,OFF-ACC-10004278,4.25,1,0.28,0.24,,2570.0
68,AE-2018-5017709,2018-12-12,2018-12-16,Second Class,MY-7380,OFF-TEN-10002817,6.97,1,0.33,0.29,,4717.0
69,AE-2018-5138434,2018-09-20,2018-09-23,Same Day,EB-4110,OFF-ACC-10004278,4.25,1,0.28,0.24,,3752.0
70,AE-2018-5145090,2018-09-26,2018-09-26,Standard Class,EB-4110,FUR-BUS-10003055,224.75,6,0.48,0.44,,3031.0
71,AE-2018-5230368,2018-12-11,2018-12-11,Second Class,MY-7380,OFF-TEN-10002817,6.97,1,0.33,0.29,13021.0,5636.0
72,AE-2018-5288084,2018-12-30,2019-01-04,Same Day,MY-7380,OFF-STI-10000114,16.67,2,0.33,0.29,,1784.0
73,AE-2018-5335936,2018-10-11,2018-10-15,Same Day,EB-4110,OFF-ACC-10004278,4.25,1,0.28,0.24,,3219.0
74,AE-2018-5353854,2018-10-07,2018-10-12,Standard Class,EB-4110,FUR-BUS-10003055,224.75,6,0.48,0.44,,3752.0
75,AE-2018-5364382,2018-10-13,2018-10-13,Standard Class,EB-4110,FUR-BUS-10003055,224.75,6,0.48,0.44,,1864.0
76,AE-2018-5668152,2018-12-08,2018-12-08,Second Class,MY-7380,OFF-TEN-10002817,6.97,1,0.33,0.29,,6017.0
77,AE-2018-5669647,2018-11-02,2018-11-03,Standard Class,EB-4110,FUR-BUS-10003055,224.75,6,0.48,0.44,,2570.0
78,AE-2018-5706837,2018-09-14,2018-09-18,Standard Class,EB-4110,FUR-BUS-10003055,224.75,6,0.48,0.44,53209.0,1488.0
79,AE-2018-5743875,2018-09-16,2018-09-16,Same Day,EB-4110,OFF-ACC-10004278,4.25,1,0.28,0.24,92683.0,4553.0
80,AE-2018-5765921,2018-10-31,2018-11-02,Same Day,EB-4110,OFF-ACC-10004278,4.25,1,0.28,0.24,10035.0,5636.0
81,AE-2018-581304,2018-09-15,2018-09-18,Same Day,EB-4110,OFF-ACC-10004278,4.25,1,0.28,0.24,,19250.0
82,AE-2018-607730,2018-10-18,2018-10-23,Standard Class,EB-4110,FUR-BUS-10003055,224.75,6,0.48,0.44,37075.0,3688.0
83,AE-2018-821408,2018-10-14,2018-10-18,Standard Class,EB-4110,FUR-BUS-10003055,224.75,6,0.48,0.44,,13836.0
84,AE-2018-84177,2018-10-31,2018-11-03,Standard Class,EB-4110,FUR-BUS-10003055,224.75,6,0.48,0.44,,783.0
85,AE-2018-971960,2018-10-15,2018-10-19,Standard Class,EB-4110,FUR-BUS-10003055,224.75,6,0.48,0.44,48234.0,1488.0
86,AE-2019-1038214,2019-11-20,2019-11-24,Second Class,GH-4665,OFF-AVE-10000357,3.16,1,0.4,0.33,,2898.0
87,AE-2019-1045766,2019-11-29,2019-11-30,Second Class,PG-8820,OFF-ROG-10001340,42.48,1,0.35,0.28,,2570.0
88,AE-2019-1092934,2019-12-04,2019-12-04,Second Class,PG-8820,OFF-ROG-10001340,42.48,1,0.35,0.28,,1864.0
89,AE-2019-1101055,2019-12-21,2019-12-22,Second Class,GH-4665,OFF-AVE-10004827,3.43,1,0.4,0.33,,6017.0
90,AE-2019-1163824,2019-01-07,2019-01-11,Second Class,MY-7380,OFF-TEN-10002817,6.97,1,0.35,0.28,,783.0
91,AE-2019-1223759,2019-12-21,2019-12-25,Second Class,GH-4665,OFF-AVE-10000357,3.16,1,0.4,0.33,,4023.0
92,AE-2019-122426,2019-11-21,2019-11-23,Second Class,GH-4665,OFF-AVE-10004827,3.43,1,0.4,0.33,,3031.0
93,AE-2019-1230510,2019-11-30,2019-12-04,Second Class,PG-8820,OFF-ROG-10001340,42.48,1,0.35,0.28,,1410.0
94,AE-2019-1231682,2019-12-18,2019-12-23,Second Class,GH-4665,TEC-MOT-10001535,95.8,4,0.4,0.33,47374.0,1488.0
95,AE-2019-1248550,2019-01-07,2019-01-07,Same Day,MY-7380,OFF-STI-10000114,16.67,2,0.35,0.28,,2941.0
96,AE-2019-1263608,2019-12-26,2019-12-31,Second Class,GH-4665,OFF-AVE-10004827,3.43,1,0.4,0.33,78745.0,1488.0
97,AE-2019-1296466,2019-11-23,2019-11-27,Second Class,GH-4665,OFF-AVE-10004827,3.43,1,0.4,0.33,,3104.0
98,AE-2019-1310184,2019-11-24,2019-11-28,Second Class,GH-4665,OFF-ROG-10003993,42.49,1,0.35,0.28,,16676.0
99,AE-2019-1328269,2019-11-16,2019-11-20,Second Class,GH-4665,OFF-AVE-10004827,3.43,1,0.4,0.33,,3855.0
100,AE-2019-1331585,2019-11-18,2019-11-22,Second Class,GH-4665,OFF-AVE-10004827,3.43,1,0.4,0.33,,88643.0
101,AE-2019-1347665,2019-11-24,2019-11-24,Second Class,GH-4665,OFF-AVE-10000357,3.16,1,0.4,0.33,,3855.0
102,AE-2019-1350401,2019-12-29,2019-12-30,Second Class,GH-4665,OFF-ROG-10003993,42.49,1,0.35,0.28,,1784.0
103,AE-2019-1356931,2019-10-22,2019-10-22,Second Class,PG-8820,OFF-ROG-10001340,42.48,1,0.35,0.28,72209.0,3688.0
104,AE-2019-1357112,2019-11-29,2019-12-02,Second Class,GH-4665,TEC-MOT-10001535,95.8,4,0.4,0.33,,5003.0
105,AE-2019-143251,2019-11-26,2019-11-27,Second Class,GH-4665,OFF-ROG-10003993,42.49,1,0.35,0.28,,4792.0
106,AE-2019-1448586,2019-01-29,2019-02-02,Second Class,MY-7380,OFF-TEN-10002817,6.97,1,0.35,0.28,94601.0,4553.0
107,AE-2019-1468563,2019-12-15,2019-12-17,Second Class,GH-4665,OFF-ELD-10002297,59.37,1,0.35,0.28,,6017.0
108,AE-2019-1498868,2019-03-08,2019-03-13,Same Day,JD-5790,OFF-HON-10004621,6.43,2,0.3,0.24,,13836.0
109,AE-2019-1528228,2019-12-08,2019-12-11,Second Class,GH-4665,OFF-ELD-10002297,59.37,1,0.35,0.28,,3870.0
110,AE-2019-1563054,2019-11-14,2019-11-14,Second Class,GH-4665,OFF-AVE-10004827,3.43,1,0.4,0.33,,71845.0
111,AE-2019-1592849,2019-01-05,2019-01-06,Same Day,MY-7380,OFF-STI-10000114,16.67,2,0.35,0.28,,12699.0
112,AE-2019-1641594,2019-12-16,2019-12-19,Second Class,GH-4665,OFF-ELD-10002297,59.37,1,0.35,0.28,,4792.0
113,AE-2019-1676746,2019-12-27,2019-12-31,Second Class,GH-4665,OFF-AVE-10000357,3.16,1,0.4,0.33,,1666.0
114,AE-2019-1679773,2019-10-23,2019-10-25,Second Class,PG-8820,OFF-ROG-10001340,42.48,1,0.35,0.28,,4792.0
115,AE-2019-1692179,2019-12-20,2019-12-20,Second Class,GH-4665,TEC-MOT-10001535,95.8,4,0.4,0.33,90049.0,4553.0
116,AE-2019-1711936,2019-11-27,2019-12-02,Standard Class,GH-4665,OFF-BIC-10002270,77.26,8,0.4,0.33,,3104.0
117,AE-2019-1714622,2019-12-04,2019-12-08,Second Class,GH-4665,OFF-AVE-10000357,3.16,1,0.4,0.33,,28459.0
118,AE-2019-1751792,2019-02-18,2019-02-23,Same Day,JD-5790,OFF-HON-10004621,6.43,2,0.3,0.24,,2898.0
119,AE-2019-1779840,2019-11-26,2019-11-28,Second Class,GH-4665,OFF-ELD-10002297,59.37,1,0.35,0.28,,1666.0
120,AE-2019-1820365,2019-12-18,2019-12-21,Second Class,GH-4665,OFF-ELD-10002297,59.37,1,0.35,0.28,,3104.0
121,AE-2019-1930508,2019-11-03,2019-11-06,Second Class,PG-8820,OFF-ROG-10001340,42.48,1,0.35,0.28,,41715.0
122,AE-2019-1939685,2019-10-08,2019-10-09,Second Class,PG-8820,OFF-ROG-10001340,42.48,1,0.35,0.28,,3722.0
123,AE-2019-2011953,2019-11-29,2019-12-04,Second Class,GH-4665,OFF-ELD-10002297,59.37,1,0.35,0.28,,16676.0
124,AE-2019-204782,2019-12-24,2019-12-29,Second Class,GH-4665,TEC-MOT-10001535,95.8,4,0.4,0.33,,3210.0
125,AE-2019-2060866,2019-12-22,2019-12-22,Second Class,GH-4665,OFF-ELD-10002297,59.37,1,0.35,0.28,,19848.0
126,AE-2019-2062453,2019-12-13,2019-12-13,Second Class,GH-4665,OFF-AVE-10004827,3.43,1,0.4,0.33,,2570.0
127,AE-2019-2063425,2019-12-27,2019-12-31,Second Class,GH-4665,OFF-AVE-10004827,3.43,1,0.4,0.33,,13836.0
128,AE-2019-2064992,2019-03-14,2019-03-18,Same Day,JD-5790,OFF-HON-10004621,6.43,2,0.3,0.24,,3849.0
129,AE-2019-2086260,2019-01-15,2019-01-18,Same Day,MY-7380,OFF-STI-10000114,16.67,2,0.35,0.28,94122.0,4553.0
130,AE-2019-208915,2019-12-14,2019-12-18,Second Class,GH-4665,OFF-AVE-10004827,3.43,1,0.4,0.33,,4717.0
131,AE-2019-2091803,2019-03-07,2019-03-07,Same Day,JD-5790,OFF-HON-10004621,6.43,2,0.3,0.24,,19848.0
132,AE-2019-2092798,2019-11-23,2019-11-23,Standard Class,GH-4665,OFF-BIC-10002270,77.26,8,0.4,0.33,14609.0,5636.0
133,AE-2019-2102829,2019-01-25,2019-01-27,Same Day,MY-7380,OFF-STI-10000114,16.67,2,0.35,0.28,,1573.0
134,AE-2019-2103279,2019-12-24,2019-12-25,Second Class,GH-4665,OFF-ROG-10003993,42.49,1,0.35,0.28,,783.0
135,AE-2019-2107578,2019-11-07,2019-11-10,Second Class,PG-8820,OFF-ROG-10001340,42.48,1,0.35,0.28,,2570.0
136,AE-2019-2146542,2019-10-10,2019-10-10,Second Class,PG-8820,OFF-ROG-10001340,42.48,1,0.35,0.28,,3210.0
137,AE-2019-2170363,2019-12-20,2019-12-20,Standard Class,GH-4665,OFF-BIC-10002270,77.26,8,0.4,0.33,,1826.0
138,AE-2019-2219530,2019-11-22,2019-11-22,Second Class,GH-4665,TEC-MOT-10001535,95.8,4,0.4,0.33,,3870.0
139,AE-2019-2225851,2019-12-26,2019-12-26,Second Class,GH-4665,TEC-MOT-10001535,95.8,4,0.4,0.33,,3104.0
140,AE-2019-2248507,2019-12-02,2019-12-04,Second Class,GH-4665,OFF-ELD-10002297,59.37,1,0.35,0.28,,4792.0
141,AE-2019-2249010,2019-12-31,2020-01-03,Second Class,GH-4665,OFF-AVE-10004827,3.43,1,0.4,0.33,,19250.0
142,AE-2019-2261195,2019-11-24,2019-11-28,Second Class,GH-4665,OFF-AVE-10004827,3.43,1,0.4,0.33,,3210.0
143,AE-2019-2262642,2019-12-16,2019-12-16,Standard Class,GH-4665,OFF-BIC-10002270,77.26,8,0.4,0.33,94122.0,4553.0
144,AE-2019-2283064,2019-01-02,2019-01-03,Second Class,MY-7380,OFF-TEN-10002817,6.97,1,0.35,0.28,,6017.0
145,AE-2019-2312678,2019-01-30,2019-02-01,Same Day,MY-7380,OFF-STI-10000114,16.67,2,0.35,0.28,,3080.0
146,AE-2019-2326865,2019-04-03,2019-04-08,Same Day,JD-5790,OFF-HON-10004621,6.43,2,0.3,0.24,,6017.0
147,AE-2019-2339803,2019-12-17,2019-12-18,Second Class,GH-4665,OFF-ELD-10002297,59.37,1,0.35,0.28,,12699.0
148,AE-2019-2343602,2019-12-30,2019-12-30,Standard Class,GH-4665,OFF-BIC-10002270,77.26,8,0.4,0.33,37064.0,3688.0
149,AE-2019-2349931,2019-11-15,2019-11-15,Second Class,GH-4665,OFF-AVE-10004827,3.43,1,0.4,0.33,,2898.0
150,AE-2019-2362833,2019-01-24,2019-01-26,Second Class,MY-7380,OFF-TEN-10002817,6.97,1,0.35,0.28,,4207.0
151,AE-2019-23735,2019-12-03,2019-12-04,Second Class,GH-4665,OFF-AVE-10000357,3.16,1,0.4,0.33,,4792.0
152,AE-2019-2396076,2019-12-06,2019-12-11,Second Class,GH-4665,OFF-ROG-10003993,42.49,1,0.35,0.28,33311.0,3688.0
153,AE-2019-2481324,2019-11-14,2019-11-19,Second Class,GH-4665,OFF-ROG-10003993,42.49,1,0.35,0.28,,1826.0
154,AE-2019-2490115,2019-11-14,2019-11-18,Second Class,GH-4665,OFF-AVE-10004827,3.43,1,0.4,0.33,,7494.0
155,AE-2019-2536190,2019-01-16,2019-01-16,Second Class,MY-7380,OFF-TEN-10002817,6.97,1,0.35,0.28,,3870.0
156,AE-2019-2564666,2019-12-31,2019-12-31,Second Class,GH-4665,OFF-AVE-10004827,3.43,1,0.4,0.33,,2570.0
157,AE-2019-2575014,2019-12-05,2019-12-07,Second Class,PG-8820,OFF-ROG-10001340,42.48,1,0.35,0.28,,1573.0
158,AE-2019-2577076,2019-11-28,2019-11-29,Second Class,GH-4665,OFF-AVE-10000357,3.16,1,0.4,0.33,,1826.0
159,AE-2019-2595478,2019-11-27,2019-11-27,Second Class,GH-4665,OFF-ELD-10002297,59.37,1,0.35,0.28,,1573.0
160,AE-2019-2634883,2019-11-28,2019-11-28,Second Class,GH-4665,OFF-AVE-10004827,3.43,1,0.4,0.33,,6093.0
161,AE-2019-2650327,2019-12-26,2019-12-27,Second Class,GH-4665,TEC-MOT-10001535,95.8,4,0.4,0.33,,4792.0
162,AE-2019-2670940,2019-11-04,2019-11-09,Second Class,PG-8820,OFF-ROG-10001340,42.48,1,0.35,0.28,7050.0,5636.0
163,AE-2019-2717004,2019-11-17,2019-11-22,Second Class,GH-4665,OFF-ROG-10003993,42.49,1,0.35,0.28,,7751.0
164,AE-2019-2733719,2019-03-16,2019-03-21,Same Day,JD-5790,OFF-HON-10004621,6.43,2,0.3,0.24,,783.0
165,AE-2019-2764792,2019-12-23,2019-12-26,Second Class,GH-4665,OFF-ELD-10002297,59.37,1,0.35,0.28,,783.0
166,AE-2019-2774845,2019-12-16,2019-12-19,Second Class,GH-4665,OFF-AVE-10000357,3.16,1,0.4,0.33,,1573.0
167,AE-2019-2784018,2019-11-19,2019-11-19,Second Class,GH-4665,OFF-AVE-10000357,3.16,1,0.4,0.33,,3031.0
168,AE-2019-2796303,2019-12-06,2019-12-06,Second Class,GH-4665,OFF-AVE-10000357,3.16,1,0.4,0.33,,783.0
169,AE-2019-2796603,2019-11-14,2019-11-14,Second Class,GH-4665,OFF-ROG-10003993,42.49,1,0.35,0.28,2920.0,5636.0
170,AE-2019-2838259,2019-10-06,2019-10-11,Second Class,PG-8820,OFF-ROG-10001340,42.48,1,0.35,0.28,,4958.0
171,AE-2019-2840,2019-11-05,2019-11-08,First Class,PG-8820,OFF-ROG-10001340,42.48,1,0.3,-75.06,90049.0,4553.0
172,AE-2019-288592,2019-12-19,2019-12-24,Standard Class,GH-4665,OFF-BIC-10002270,77.26,8,0.4,0.33,,3080.0
173,AE-2019-2910985,2019-10-25,2019-10-27,Second Class,PG-8820,OFF-ROG-10001340,42.48,1,0.35,0.28,,3104.0
174,AE-2019-2924651,2019-12-27,2019-12-29,Second Class,GH-4665,OFF-AVE-10000357,3.16,1,0.4,0.33,,3210.0
175,AE-2019-2937358,2019-12-21,2019-12-21,Second Class,GH-4665,OFF-AVE-10000357,3.16,1,0.4,0.33,,2570.0
176,AE-2019-2939943,2019-01-05,2019-01-06,Second Class,MY-7380,OFF-TEN-10002817,6.97,1,0.35,0.28,,9954.0
177,AE-2019-2949791,2019-11-15,2019-11-19,Second Class,GH-4665,OFF-ROG-10003993,42.49,1,0.35,0.28,90049.0,4553.0
178,AE-2019-2952905,2019-11-25,2019-11-29,Standard Class,GH-4665,OFF-BIC-10002270,77.26,8,0.4,0.33,,3104.0
179,AE-2019-2960251,2019-12-01,2019-12-02,Second Class,GH-4665,OFF-AVE-10000357,3.16,1,0.4,0.33,85234.0,4553.0
180,AE-2019-2973968,2019-11-21,2019-11-23,Second Class,GH-4665,OFF-ELD-10002297,59.37,1,0.35,0.28,31907.0,3688.0
181,AE-2019-299881,2019-01-13,2019-01-16,Second Class,MY-7380,OFF-TEN-10002817,6.97,1,0.35,0.28,,4011.0
182,AE-2019-2999723,2019-03-22,2019-03-22,Same Day,JD-5790,OFF-HON-10004621,6.43,2,0.3,0.24,,19250.0
183,AE-2019-3001630,2019-12-28,2019-12-30,Standard Class,GH-4665,OFF-BIC-10002270,77.26,8,0.4,0.33,,19848.0
184,AE-2019-3013160,2019-03-19,2019-03-21,Same Day,JD-5790,OFF-HON-10004621,6.43,2,0.3,0.24,,1864.0
185,AE-2019-3020166,2019-12-27,2020-01-01,Second Class,GH-4665,OFF-AVE-10000357,3.16,1,0.4,0.33,,6093.0
186,AE-2019-3025638,2019-03-11,2019-03-15,Same Day,JD-5790,OFF-HON-10004621,6.43,2,0.3,0.24,,3104.0
187,AE-2019-3029426,2019-11-25,2019-11-25,Second Class,GH-4665,TEC-MOT-10001535,95.8,4,0.4,0.33,,19848.0
188,AE-2019-303016,2019-12-18,2019-12-23,Second Class,GH-4665,TEC-MOT-10001535,95.8,4,0.4,0.33,52402.0,1488.0
189,AE-2019-304471,2019-12-27,2019-12-31,Second Class,GH-4665,TEC-MOT-10001535,95.8,4,0.4,0.33,60653.0,1488.0
190,AE-2019-3090574,2019-11-27,2019-11-28,Second Class,GH-4665,OFF-AVE-10004827,3.43,1,0.4,0.33,,2125.0
191,AE-2019-3105695,2019-11-17,2019-11-20,Second Class,PG-8820,OFF-ROG-10001340,42.48,1,0.35,0.28,,2125.0
192,AE-2019-3123605,2019-11-30,2019-12-05,Second Class,PG-8820,OFF-ROG-10001340,42.48,1,0.35,0.28,55901.0,1488.0
193,AE-2019-3179243,2019-11-18,2019-11-19,Second Class,GH-4665,TEC-MOT-10001535,95.8,4,0.4,0.33,75220.0,1488.0
194,AE-2019-31917,2019-10-11,2019-10-16,Second Class,PG-8820,OFF-ROG-10001340,42.48,1,0.35,0.28,,1864.0
195,AE-2019-321558,2019-01-03,2019-01-05,Second Class,MY-7380,OFF-TEN-10002817,6.97,1,0.35,0.28,,1573.0
196,AE-2019-3323423,2019-12-06,2019-12-11,Second Class,GH-4665,OFF-ELD-10002297,59.37,1,0.35,0.28,78745.0,1488.0
197,AE-2019-3325791,2019-12-02,2019-12-04,Second Class,GH-4665,TEC-MOT-10001535,95.8,4,0.4,0.33,,19250.0
198,AE-2019-33285,2019-12-11,2019-12-13,Second Class,GH-4665,OFF-ROG-10003993,42.49,1,0.35,0.28,,3849.0
